player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Chris Johnson,4338,HB,16,TEN,390,358,2037,5.7,14,73.6,75.5,74.9,61.0,1071,2.99,91,84,41,4,2,0
Steven Jackson,1745,HB,15,STR,341,324,1422,4.4,4,62.3,61.5,80.9,61.0,954,2.94,62,61,39,3,3,2
Thomas Jones,585,HB,16,NYJ,368,331,1402,4.2,14,47.0,50.1,79.4,65.4,700,2.11,71,64,14,3,1,0
Maurice Jones-Drew,3005,HB,16,JAX,353,312,1389,4.5,15,74.5,66.3,80.5,71.4,928,2.97,80,68,44,3,1,0
Adrian Peterson,3623,HB,16,MIN,337,314,1388,4.4,18,64.5,66.4,33.3,78.0,913,2.91,64,76,46,7,1,0
Ray Rice,4369,HB,16,BLT,290,254,1338,5.3,7,72.5,63.8,67.8,67.8,719,2.83,59,54,32,4,2,0
Cedric Benson,2221,HB,13,CIN,321,301,1254,4.2,6,58.0,59.9,87.7,73.0,774,2.57,42,57,20,2,1,0
Ryan Grant,2609,HB,16,GB,296,282,1253,4.4,11,57.1,59.3,86.6,59.4,774,2.74,62,60,29,2,0,0
Jonathan Stewart,4327,HB,16,CAR,241,221,1133,5.1,10,71.1,72.4,61.0,58.5,740,3.35,67,56,39,4,1,0
Ricky Williams,440,HB,16,MIA,332,241,1121,4.7,11,55.4,57.6,51.2,64.2,647,2.68,68,55,14,5,0,0
Jamaal Charles,4387,HB,15,KC,219,190,1120,5.9,7,80.0,84.4,68.7,70.4,687,3.62,76,56,27,4,0,0
Frank Gore,2282,HB,14,SF,257,229,1120,4.9,10,61.4,56.9,62.5,57.6,616,2.69,80,47,21,3,0,0
DeAngelo Williams,2972,HB,13,CAR,225,216,1117,5.2,7,65.6,68.2,58.1,59.7,635,2.94,77,52,23,3,2,0
Rashard Mendenhall,4337,HB,15,PIT,271,242,1108,4.6,7,64.4,67.3,61.3,57.9,717,2.96,60,48,28,3,1,0
