player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
LaDainian Tomlinson,777,HB,16,SD,341,315,1474,4.7,15,80.0,75.3,91.7,66.5,746,2.37,49,75,36,0,2,0
Adrian Peterson,3623,HB,14,MIN,260,238,1341,5.6,12,91.1,90.8,52.0,56.9,726,3.05,73,63,46,4,1,0
Brian Westbrook,1094,HB,15,PHI,318,278,1340,4.8,7,77.6,78.8,88.5,48.2,655,2.36,36,73,39,1,1,0
Willie Parker,2142,HB,15,PIT,333,321,1316,4.1,2,54.0,53.9,59.7,70.1,532,1.66,32,50,25,4,1,0
Jamal Lewis,583,HB,15,CLV,320,298,1312,4.4,9,59.9,59.2,67.7,60.3,771,2.59,66,59,39,3,2,0
Clinton Portis,1058,HB,16,WAS,356,323,1262,3.9,11,60.4,56.9,52.7,54.7,760,2.35,32,61,34,7,1,0
Fred Taylor,333,HB,15,JAX,236,222,1223,5.5,5,90.1,90.1,69.1,57.3,692,3.12,80,45,51,2,0,0
Edgerrin James,439,HB,16,ARZ,346,323,1221,3.8,8,60.5,63.6,54.6,65.5,676,2.09,27,53,35,5,2,0
Willis McGahee,1339,HB,15,BLT,310,294,1206,4.1,7,70.7,64.1,68.3,57.1,751,2.55,46,57,39,4,0,0
Thomas Jones,585,HB,16,NYJ,351,310,1122,3.6,1,65.8,61.6,69.1,57.9,579,1.87,36,56,33,3,1,0
Marshawn Lynch,3628,HB,13,BUF,295,280,1115,4.0,7,79.8,79.1,75.7,57.4,648,2.31,56,52,52,2,1,0
LenDale White,2990,HB,16,TEN,348,303,1115,3.7,7,58.0,57.9,47.1,76.2,706,2.33,28,57,24,5,0,0
Frank Gore,2282,HB,15,SF,282,260,1103,4.2,5,56.8,60.2,54.9,42.7,617,2.37,43,43,26,4,4,1
Joseph Addai,2975,HB,15,IND,272,261,1072,4.1,12,80.8,78.2,91.3,57.5,546,2.09,23,65,33,0,0,0
Brandon Jacobs,2327,HB,11,NYG,212,202,1012,5.0,4,63.0,68.0,32.8,58.6,520,2.57,43,52,33,5,0,0
Justin Fargas,1410,HB,14,OAK,244,222,1011,4.6,4,65.7,67.7,70.4,60.0,560,2.52,48,53,19,3,0,0
Steven Jackson,1745,HB,12,STR,252,237,1002,4.2,5,69.5,71.9,39.1,59.1,583,2.46,54,37,25,5,0,0
Marion Barber III,2326,HB,16,DAL,212,204,981,4.8,10,90.0,90.2,61.8,58.1,559,2.74,54,49,51,3,0,0
Ryan Grant,2609,HB,14,GB,197,189,956,5.1,8,72.6,71.7,80.1,69.9,459,2.43,66,36,28,1,0,0
Earnest Graham,1613,HB,15,TB,241,222,898,4.0,10,64.1,64.5,83.6,75.5,565,2.55,28,46,31,1,0,0
DeShaun Foster,1041,HB,16,CAR,264,247,890,3.6,3,50.2,55.3,27.0,55.9,436,1.77,20,43,36,7,2,0
Chester Taylor,1182,HB,14,MIN,170,157,847,5.4,7,69.8,71.4,27.7,66.4,436,2.78,84,36,27,5,1,0
Laurence Maroney,2966,HB,13,NE,204,185,840,4.5,6,77.7,77.6,90.5,56.7,392,2.12,59,49,24,0,1,0
Kenny Watson,1001,HB,16,CIN,195,178,780,4.4,7,70.7,70.8,59.0,68.7,353,1.98,24,40,13,3,1,0
Ron Dayne,589,HB,13,HST,206,194,773,4.0,6,56.2,54.3,80.2,50.6,399,2.06,39,43,12,1,1,0
Maurice Jones-Drew,3005,HB,15,JAX,207,167,768,4.6,9,78.7,75.3,64.7,80.7,354,2.12,57,46,30,2,0,0
Selvin Young,4109,HB,15,DEN,156,139,759,5.5,1,69.1,74.7,65.1,58.8,373,2.68,50,23,32,2,2,1
Warrick Dunn,236,HB,16,ATL,244,228,721,3.2,4,53.3,56.0,71.8,59.3,372,1.63,38,36,30,2,2,0
DeAngelo Williams,2972,HB,16,CAR,161,144,717,5.0,4,66.0,77.3,75.1,44.8,407,2.83,75,27,22,1,1,0
Shaun Alexander,597,HB,13,SEA,222,207,716,3.5,4,48.3,55.5,67.5,58.7,422,2.04,25,37,23,2,0,0
Travis Henry,825,HB,12,DEN,198,167,691,4.1,4,60.7,62.5,60.6,57.1,411,2.46,33,37,28,2,0,0
Cedric Benson,2221,HB,11,CHI,209,196,674,3.4,4,42.4,46.9,53.2,50.7,323,1.65,43,34,15,3,0,0
Maurice Morris,1061,HB,14,SEA,156,140,628,4.5,4,58.1,55.9,74.3,55.9,309,2.21,46,32,14,1,0,0
Jerious Norwood,3024,HB,15,ATL,115,103,615,6.0,1,76.3,76.6,89.2,55.5,244,2.37,67,25,12,0,0,0
Ronnie Brown,2219,HB,7,MIA,133,119,602,5.1,4,89.0,84.2,90.0,59.5,328,2.76,60,39,22,0,0,0
Derrick Ward,1949,HB,8,NYG,130,125,602,4.8,3,65.1,64.1,54.7,59.5,302,2.42,44,28,13,2,0,0
Julius Jones,1764,HB,16,DAL,177,164,588,3.6,2,64.1,59.9,90.4,58.3,307,1.87,25,25,19,0,0,0
Kevin Jones,1751,HB,13,DET,165,153,581,3.8,8,70.4,74.1,66.4,57.7,348,2.27,34,35,24,2,1,1
Reggie Bush,2947,HB,12,NO,196,157,573,3.6,4,59.5,54.7,26.1,44.1,229,1.46,22,32,16,7,1,0
Larry Johnson,1343,HB,8,KC,163,158,559,3.5,3,57.6,59.0,81.4,59.2,311,1.97,54,26,21,1,3,0
Lamont Jordan,819,HB,12,OAK,154,145,549,3.8,3,57.6,55.3,72.6,60.8,259,1.79,33,24,12,1,0,0
Kenton Keith,4131,HB,16,IND,131,121,533,4.4,3,61.2,70.1,70.4,64.8,215,1.78,22,44,11,1,0,0
Jesse Chatman,2861,HB,12,MIA,146,128,515,4.0,1,76.7,76.4,73.0,68.0,306,2.39,30,27,25,1,0,0
Adrian Peterson,1177,HB,16,CHI,170,151,511,3.4,3,62.8,51.7,63.6,58.9,305,2.02,21,26,18,2,0,0
Najeh Davenport,1131,HB,15,PIT,121,107,500,4.7,5,67.9,69.2,88.6,71.7,331,3.09,45,37,25,1,1,0
Rudi Johnson,857,HB,11,CIN,195,170,498,2.9,3,51.2,53.7,46.9,56.7,304,1.79,22,27,22,3,1,0
Chris Brown,1407,HB,12,TEN,116,103,459,4.5,5,75.8,69.7,46.4,79.6,310,3.01,42,28,22,2,0,0
Aaron Stecker,572,HB,16,NO,140,115,448,3.9,5,64.3,57.2,60.8,78.7,215,1.87,26,29,9,1,0,0
Kolby Smith,3764,HB,9,KC,114,112,407,3.6,2,62.5,66.3,89.3,60.0,222,1.98,19,26,17,0,1,0
Sammy Morris,678,HB,6,NE,94,85,388,4.6,3,73.9,73.0,86.9,67.0,193,2.27,49,25,5,0,0,0
Vince Young,2948,QB,15,TEN,423,36,380,4.3,3,68.4,54.7,71.8,60.0,119,1.35,21,25,9,8,5,0
Leon Washington,3062,HB,16,NYJ,91,71,353,5.0,3,71.1,72.3,64.1,73.1,152,2.14,49,13,12,1,0,0
