player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
T.J. Duckett,1025,HB,12,DET,74,65,335,5.2,3,66.1,65.8,85.0,67.8,209,3.22,53,16,8,0,0,0
Ladell Betts,1063,HB,16,WAS,107,93,335,3.6,1,59.8,55.8,67.0,57.6,186,2.00,20,16,4,1,0,0
Michael Turner,1873,HB,16,SD,86,71,316,4.5,1,45.1,48.1,56.4,56.4,168,2.37,74,10,13,1,0,0
Correll Buckhalter,869,HB,14,PHI,76,62,313,5.0,4,67.9,76.6,84.8,66.3,197,3.18,30,17,7,0,0,0
Brian Leonard,3668,FB,16,STR,174,86,303,3.5,0,64.0,66.3,66.2,58.8,161,1.87,31,14,7,0,0,0
Dominic Rhodes,979,HB,6,OAK,75,75,302,4.0,1,63.1,65.8,59.6,,169,2.25,25,18,7,1,0,0
Fred Jackson,3368,HB,8,BUF,62,58,300,5.2,0,83.1,81.3,85.3,30.8,177,3.05,27,12,13,0,1,1
Michael Pittman,382,HB,10,TB,87,68,286,4.2,0,58.8,61.0,61.0,51.5,140,2.06,29,12,4,1,1,1
Jason Wright,2212,HB,16,CLV,73,60,277,4.6,1,71.8,72.4,59.0,57.4,140,2.33,18,19,7,1,0,0
Reuben Droughns,640,HB,16,NYG,98,85,275,3.2,6,55.4,58.7,62.8,58.6,178,2.09,45,27,13,1,0,0
Brandon Jackson,3679,HB,11,GB,91,75,267,3.6,1,70.2,69.9,86.4,55.9,188,2.51,46,10,13,0,0,0
Kevin Faulk,470,HB,16,NE,67,62,265,4.3,0,71.7,73.7,63.7,77.6,134,2.16,14,15,5,1,1,0
Darius Walker,4248,HB,4,HST,65,58,264,4.6,1,60.3,58.7,84.5,58.1,140,2.41,41,13,6,0,0,0
Musa Smith,1392,HB,16,BLT,85,75,264,3.5,2,62.7,55.6,62.8,58.4,155,2.07,24,14,8,1,1,1
Ahman Green,374,HB,6,HST,75,70,260,3.7,2,66.4,68.5,85.7,59.5,129,1.84,18,17,3,0,1,0
Pierre Thomas,4080,HB,10,NO,69,52,252,4.8,1,82.1,86.8,84.3,68.8,143,2.75,24,15,11,0,0,0
Tarvaris Jackson,3009,QB,12,MIN,339,22,240,4.4,3,59.0,66.4,72.9,60.0,100,1.85,32,19,8,5,4,0
Donovan McNabb,438,QB,14,PHI,311,21,236,4.7,0,66.2,48.3,69.7,60.0,63,1.26,40,16,1,9,3,0
Andre Hall,3333,HB,5,DEN,56,44,216,4.9,2,68.6,66.4,42.4,58.1,142,3.23,62,10,10,1,0,0
Cadillac Williams,2222,HB,4,TB,57,54,208,3.9,3,45.7,59.5,26.6,38.8,105,1.94,20,12,6,2,0,0
Deshawn Wynn,3844,HB,7,GB,53,50,203,4.1,4,68.6,70.7,83.5,58.4,144,2.88,44,10,8,0,1,0
Ahmad Bradshaw,3866,HB,6,NYG,25,23,190,8.3,1,82.5,85.0,78.2,60.0,150,6.52,88,6,7,0,0,0
Ben Roethlisberger,1732,QB,15,PIT,433,12,188,5.4,2,85.5,57.6,36.8,60.0,93,2.66,30,17,4,9,0,0
DeDe Dorsey,3299,HB,9,CIN,22,21,183,8.7,0,76.8,78.6,78.4,60.0,95,4.52,45,9,8,0,0,0
Jay Cutler,2956,QB,16,DEN,404,30,183,4.3,1,70.7,54.0,51.4,60.0,42,0.98,31,15,2,11,3,0
Tatum Bell,1762,HB,5,DET,50,44,182,4.1,1,50.4,54.5,48.2,55.3,69,1.57,24,7,2,1,1,0
Jason Campbell,2242,QB,13,WAS,358,13,177,5.1,1,72.9,52.6,41.2,60.4,10,0.29,29,15,2,10,3,0
David Garrard,1109,QB,12,JAX,326,29,177,3.7,1,84.4,64.3,79.2,60.0,80,1.67,19,18,5,3,3,0
Michael Bennett,797,HB,8,TB,45,40,170,4.3,0,58.9,60.3,29.5,56.6,95,2.38,28,6,3,0,0,0
Darren Sproles,2347,HB,8,SD,44,37,164,4.4,2,70.2,64.5,81.7,57.6,105,2.84,34,6,10,0,0,0
Leonard Weaver,2835,FB,16,SEA,231,32,145,4.5,1,70.0,58.3,83.2,81.0,52,1.63,37,13,3,0,2,0
Josh McCown,1085,QB,9,OAK,215,12,143,5.1,0,48.3,40.3,28.6,60.0,21,0.75,24,9,0,11,3,0
Jerome Harrison,3090,HB,5,CLV,29,23,142,6.2,0,91.1,86.8,78.4,66.1,80,3.48,17,8,3,0,0,0
Antonio Pittman,3723,HB,10,STR,41,38,139,3.7,0,57.4,59.1,81.2,58.1,111,2.92,43,7,6,0,0,0
Priest Holmes,309,HB,4,KC,47,46,137,3.0,0,50.1,49.0,83.2,60.0,65,1.41,11,6,8,0,0,0
Tony Romo,1693,QB,16,DAL,372,14,126,4.1,2,82.5,58.7,42.8,60.0,38,1.23,17,8,2,11,3,0
Lorenzo Booker,3687,HB,7,MIA,35,28,125,4.5,0,71.9,64.1,81.9,59.1,62,2.21,22,8,3,0,0,0
Michael Robinson,3045,HB,13,SF,31,25,123,4.9,0,64.5,53.3,29.8,74.2,52,2.08,28,7,2,1,0,0
Heath Evans,843,FB,16,NE,163,34,121,3.6,3,68.4,75.8,80.6,63.3,61,1.79,11,13,1,0,0,0
Greg Jones II,1776,FB,16,JAX,282,42,119,2.8,2,81.6,63.6,82.4,84.9,84,2.00,11,8,6,0,1,0
Chris Henry,3666,HB,6,TEN,38,31,119,3.8,2,60.6,55.3,80.5,57.9,72,2.32,24,5,3,0,0,0
Maurice Hicks,1253,HB,16,SF,27,21,117,5.6,1,66.4,66.2,29.6,59.2,46,2.19,18,4,2,1,0,0
Luke McCown,1827,QB,5,TB,78,2,117,9.8,0,68.1,82.6,54.7,60.0,7,0.58,31,7,1,3,0,0
Jeff Garcia,550,QB,13,TB,304,15,116,3.3,1,86.3,38.2,64.0,60.0,28,0.80,21,10,2,3,4,0
Mewelde Moore,1840,HB,8,MIN,30,20,113,5.7,0,59.3,62.0,27.2,58.1,36,1.80,17,7,4,1,0,0
Kellen Clemens,2994,QB,10,NYJ,208,14,110,4.1,1,52.0,43.2,68.5,60.5,35,1.30,18,10,3,3,5,0
J.P. Losman,1743,QB,8,BUF,156,9,110,5.5,0,46.8,43.9,44.5,60.0,24,1.20,17,8,0,4,0,0
Vernand Morency,2290,HB,13,GB,33,29,108,3.7,0,71.7,68.7,57.7,59.3,43,1.48,15,5,3,1,1,0
Sam Gado,2599,HB,5,MIA,38,35,104,3.0,3,61.7,61.4,51.5,58.4,68,1.94,20,5,4,0,0,0
Cleo Lemon,1271,QB,9,MIA,205,17,101,3.3,4,51.4,55.6,31.6,60.1,73,2.35,11,16,3,7,3,0
Tom Brady,698,QB,16,NE,396,21,98,2.6,2,94.6,47.2,86.3,60.0,20,0.54,19,14,0,6,2,0
Dwayne Wright,3727,HB,11,BUF,30,29,94,3.2,0,39.9,45.8,29.3,60.0,67,2.31,15,8,2,1,0,0
Deuce McAllister,793,HB,3,NO,30,24,92,3.8,0,37.7,42.6,28.1,59.5,41,1.71,15,4,2,1,0,0
Kyle Eckel,2574,FB,7,NE,37,33,90,2.7,2,57.6,57.1,80.2,58.7,54,1.64,14,5,1,0,0,0
Anthony Thomas,808,HB,10,BUF,41,36,89,2.5,0,67.5,58.6,82.3,60.1,70,1.94,9,4,2,0,1,1
Alex Smith,2218,QB,7,SF,125,4,89,6.8,0,52.0,64.4,68.0,60.2,9,0.69,25,5,2,6,3,0
Kyle Boller,1335,QB,12,BLT,226,7,89,4.7,0,59.8,45.6,69.2,60.0,33,1.74,15,9,1,6,0,0
Matt Hasselbeck,408,QB,16,SEA,379,22,89,2.3,0,73.0,43.3,65.2,60.0,15,0.38,12,8,0,9,4,0
Adimchinobe Echemandu,1924,HB,6,HST,20,20,85,4.3,0,58.9,59.3,26.1,,51,2.55,20,3,0,1,0,0
Garrett Wolfe,3709,HB,10,CHI,31,30,83,2.8,0,56.5,51.4,33.3,60.0,38,1.27,25,4,1,1,0,0
Michael Sellers,432,FB,14,WAS,254,26,78,3.0,2,52.4,48.1,49.2,57.8,59,2.27,15,9,2,1,3,0
J.J. Arrington,2261,HB,16,ARZ,31,26,78,3.0,0,57.7,45.7,81.8,59.3,44,1.69,12,3,1,0,1,0
Cory Ross,3487,HB,1,BLT,13,12,72,6.0,1,68.7,68.0,74.3,60.0,57,4.75,32,3,6,0,0,0
Derek Anderson,2430,QB,16,CLV,414,19,70,2.2,3,64.4,41.3,90.4,60.3,9,0.28,11,12,1,5,7,0
Eli Manning,1722,QB,16,NYG,451,20,69,2.4,1,67.2,31.9,57.5,60.0,3,0.10,18,9,1,13,7,0
Travis Minor,846,HB,7,STR,21,17,68,4.0,0,60.5,63.2,78.5,59.9,35,2.06,13,3,2,0,0,0
Carey Davis,2029,FB,16,PIT,161,17,68,4.0,0,68.1,54.1,78.3,71.8,35,2.06,12,1,1,0,0,0
Steve Smith,837,WR,15,CAR,369,9,66,7.3,0,80.1,61.9,57.9,69.7,32,3.56,22,4,1,1,1,0
Clifton Dawson,3923,HB,6,IND,39,30,64,2.1,1,51.1,54.0,79.7,56.3,72,2.40,12,3,8,0,0,0
Jon Kitna,217,QB,16,DET,289,13,63,2.5,0,66.5,31.1,29.6,60.0,26,1.04,11,4,4,16,3,0
Mike Anderson,693,HB,6,BLT,15,15,62,4.1,0,55.5,49.1,24.8,,48,3.20,16,3,3,1,0,0
Joshua Cribbs,2544,WR,16,CLV,30,9,61,6.8,0,65.7,63.5,74.5,83.6,22,2.44,18,3,2,0,1,0
David Carr,1009,QB,6,CAR,99,6,59,3.5,0,52.5,47.9,69.0,60.0,27,1.59,15,5,1,1,0,0
Cecil Sapp,1695,FB,16,DEN,228,18,59,3.3,2,61.9,68.1,78.6,65.6,42,2.33,12,5,1,0,0,0
Brandon Marshall,3064,WR,16,DEN,351,5,57,11.4,0,91.3,69.5,27.9,92.0,16,3.20,24,4,2,3,7,0
Quinn Gray,1247,QB,8,JAX,170,14,57,3.0,0,51.1,58.0,69.8,60.0,36,1.89,15,7,3,2,2,0
Troy Smith,3790,QB,4,BLT,73,5,54,4.5,1,41.5,34.8,24.1,60.0,0,0.00,14,5,2,3,1,0
Tyson Thompson,2810,HB,4,DAL,16,14,54,3.9,0,62.8,62.5,75.1,60.0,33,2.36,23,3,2,0,0,0
Calvin Johnson,3618,WR,15,DET,182,4,52,13.0,1,76.3,90.4,79.8,59.9,34,8.50,32,3,3,1,2,0
Michael Bennett,797,HB,6,KC,24,20,52,2.6,0,58.9,60.3,29.5,56.6,32,1.60,12,3,1,2,0,0
Drew Brees,802,QB,16,NO,372,16,52,2.3,1,84.6,49.0,88.3,60.0,14,0.61,9,8,0,9,5,0
Matt Schaub,1811,QB,11,HST,214,9,52,3.1,0,80.3,40.0,64.6,60.2,16,0.94,12,4,0,7,3,0
Sage Rosenfels,863,QB,9,HST,187,14,49,2.3,1,69.6,39.2,49.6,60.0,3,0.14,19,6,0,4,1,0
Trent Edwards,3708,QB,10,BUF,270,7,49,3.5,0,59.4,38.8,44.6,60.0,4,0.29,14,4,1,4,1,0
Patrick Cobbs,3272,HB,5,MIA,16,15,47,3.1,1,43.9,49.3,76.4,60.0,28,1.87,12,3,2,0,0,0
Jackie Battle,3885,HB,2,KC,16,14,47,3.4,1,58.5,70.7,75.3,60.0,32,2.29,6,3,4,0,0,0
Chad Johnson,806,WR,16,CIN,372,6,47,7.8,0,84.9,54.9,31.0,61.8,9,1.50,16,2,0,2,4,1
Sam Gado,2599,HB,3,HST,22,18,46,2.6,1,61.7,61.4,51.5,58.4,25,1.39,7,4,1,1,0,0
Brad Smith,3048,WR,16,NYJ,220,12,45,3.8,0,57.1,76.3,79.9,64.3,32,2.67,11,2,5,0,0,0
Daunte Culpepper,446,QB,7,OAK,195,12,43,2.3,3,59.8,37.8,23.3,60.0,16,0.84,9,7,1,9,4,0
Jason Snelling,3860,HB,6,ATL,14,13,43,3.3,1,58.7,61.3,75.1,60.0,24,1.85,17,6,2,0,0,0
Lawrence Vickers,3125,FB,16,CLV,289,15,43,2.9,0,60.9,58.5,77.8,80.8,26,1.73,7,10,0,0,0,0
Matt Leinart,2955,QB,5,ARZ,98,6,42,3.8,0,50.5,44.0,87.1,60.0,9,0.82,20,5,0,0,2,0
Marcel Shipp,987,HB,15,ARZ,22,15,41,2.7,1,60.4,66.4,76.5,44.3,23,1.53,14,5,3,0,0,0
Brad Hoover,740,FB,16,CAR,280,12,39,3.3,0,71.9,49.4,76.6,85.7,19,1.58,10,4,0,0,0,0
Jerricho Cotchery,1829,WR,15,NYJ,354,5,38,7.6,0,77.3,63.1,55.2,63.0,41,8.20,16,3,4,1,0,0
Aveion Cason,945,HB,10,DET,13,11,38,3.5,0,61.9,65.7,27.0,60.0,27,2.45,12,2,2,1,0,0
Cedrick Wilson,901,WR,16,PIT,160,2,37,18.5,0,64.1,64.2,74.7,60.0,0,0.00,37,1,0,0,1,0
Brandon Jones,2313,WR,8,TEN,98,2,37,18.5,0,68.2,68.5,25.7,58.0,14,7.00,19,2,1,1,1,0
Reggie Brown,2252,WR,16,PHI,298,5,36,7.2,0,70.0,62.2,57.6,84.4,13,2.60,12,2,2,1,1,1
Brian Calhoun,3019,HB,3,DET,11,7,35,5.0,0,63.5,55.5,73.3,66.6,17,2.43,17,2,0,0,0,0
Wes Welker,2204,WR,16,NE,207,4,34,8.5,0,88.3,63.9,39.0,82.9,18,4.50,27,1,0,2,1,0
Philip Rivers,1725,QB,16,SD,424,20,32,1.1,1,76.8,29.3,50.5,60.0,25,0.86,10,8,2,11,5,0
Lorenzo Neal,47,FB,13,SD,242,13,32,2.5,0,73.9,62.5,25.4,84.1,22,1.69,10,5,1,1,1,0
Steve McNair,114,QB,6,BLT,124,6,32,3.2,0,49.0,28.5,24.5,60.0,3,0.30,13,4,0,7,5,0
Chad Pennington,596,QB,9,NYJ,210,14,31,1.6,1,58.4,29.3,81.2,60.4,19,1.00,5,9,0,4,7,0
Rex Grossman,1338,QB,8,CHI,172,9,30,2.1,0,57.6,32.0,28.1,60.0,7,0.50,12,4,0,5,2,0
Kevin Walter,1549,WR,16,HST,321,5,30,6.0,0,78.3,70.5,81.6,75.4,10,2.00,13,2,1,0,0,0
Trent Green,58,QB,5,MIA,88,5,30,4.3,0,52.0,42.4,88.5,60.0,3,0.43,23,3,1,1,2,0
Dallas Clark,1340,TE,15,IND,390,2,29,14.5,0,74.5,68.2,80.5,86.1,13,6.50,15,2,0,0,0,0
Troy Williamson,2224,WR,11,MIN,122,2,29,14.5,0,65.6,59.5,74.9,74.4,3,1.50,26,1,0,0,1,0
Aaron Rodgers,2241,QB,2,GB,12,3,29,4.1,0,66.1,68.7,79.2,60.0,2,0.29,13,3,0,0,0,0
LaBrandon Toefield,1443,HB,2,JAX,17,13,27,2.1,1,52.7,52.7,75.3,58.8,23,1.77,7,2,0,0,0,0
Dennis Northcutt,605,WR,15,JAX,215,6,27,4.5,0,75.5,50.9,79.7,62.9,4,0.67,8,0,0,0,3,0
Justin Griffith,1433,FB,16,OAK,246,7,27,3.9,0,70.3,51.5,77.7,82.0,12,1.71,6,0,0,0,3,1
Jake Delhomme,303,QB,3,CAR,74,2,26,4.3,0,67.0,50.6,55.1,60.0,2,0.33,13,2,0,1,1,0
Brian Griese,379,QB,7,CHI,152,9,26,2.0,0,64.3,24.8,53.6,60.0,2,0.15,9,4,0,6,6,0
Jeremi Johnson,1430,FB,16,CIN,262,7,25,3.6,0,86.4,56.2,73.6,89.4,9,1.29,12,1,0,0,2,1
Jameel Cook,904,FB,5,HST,11,8,24,3.0,0,58.6,53.1,74.6,59.4,13,1.63,9,2,0,0,0,0
A.J. Feeley,893,QB,3,PHI,71,2,23,3.3,0,41.2,50.4,67.1,60.0,0,0.00,7,2,0,1,0,0
Vinny Testaverde,2866,QB,7,CAR,164,6,22,2.4,0,46.9,52.7,25.3,60.6,4,0.44,16,0,0,4,2,0
Michael Clayton,1736,WR,14,TB,138,5,22,4.4,0,58.8,58.5,26.7,86.6,8,1.60,20,2,0,1,0,0
Trent Dilfer,72,QB,7,SF,120,6,22,2.2,0,57.6,47.9,62.9,60.0,8,0.80,11,1,0,8,1,0
Gary Russell,4059,HB,2,PIT,9,7,21,3.0,0,53.7,54.7,71.4,59.2,9,1.29,8,1,2,0,0,0
Devery Henderson,1771,WR,16,NO,135,2,20,10.0,0,52.4,59.5,75.1,63.4,2,1.00,15,1,0,0,2,0
Bruce Gradkowski,3139,QB,4,TB,34,5,20,2.9,0,63.5,57.7,78.5,60.0,4,0.57,13,1,0,0,1,0
Chris Davis,3744,WR,8,TEN,28,2,19,9.5,0,48.8,62.6,18.0,52.8,6,3.00,14,1,0,1,0,0
Roscoe Parrish,2272,WR,16,BUF,119,3,19,6.3,1,66.4,65.8,78.0,66.2,1,0.33,24,1,0,0,2,0
Mack Strong,66,FB,5,SEA,68,4,19,4.8,0,70.8,67.6,73.1,68.1,11,2.75,9,1,0,0,1,0
Brooks Bollinger,1502,QB,5,MIN,52,2,18,3.6,0,64.3,40.1,41.7,60.0,15,3.00,10,1,0,1,0,0
Brodie Croyle,3030,QB,9,KC,128,2,18,2.6,0,50.7,49.7,28.5,60.0,3,0.43,6,1,1,4,4,0
Dante' Hall,677,WR,7,STR,35,3,18,6.0,0,54.2,72.6,70.9,68.8,4,1.33,9,2,1,0,0,0
Thomas Tapeh,1880,FB,16,PHI,223,5,18,3.6,0,69.2,60.3,73.3,78.3,17,3.40,11,3,0,0,0,0
Le'Ron McClain,3753,FB,16,BLT,262,8,18,2.3,0,58.0,56.3,24.1,68.4,11,1.38,4,2,0,1,6,1
Seneca Wallace,1422,QB,10,SEA,33,2,17,4.3,0,52.9,60.4,27.8,60.2,1,0.25,11,2,0,1,0,0
Moran Norris,865,FB,16,SF,169,7,17,2.4,0,66.8,57.4,73.6,68.0,9,1.29,6,4,0,0,0,0
Chris Chambers,821,WR,10,SD,165,2,17,8.5,0,81.5,65.5,81.7,80.4,5,2.50,9,0,1,1,5,0
Santonio Holmes,2970,WR,13,PIT,245,5,17,3.4,0,87.6,44.2,42.1,82.2,6,1.20,11,1,1,2,1,0
Jason McKie,1279,FB,16,CHI,278,6,17,2.8,1,82.8,49.3,22.8,90.2,8,1.33,6,3,0,1,1,0
Joey Harrington,1011,QB,12,ATL,247,6,17,1.2,0,69.3,43.9,91.3,60.0,25,1.79,13,2,1,0,0,0
Mike Karney,1875,FB,16,NO,232,11,17,1.5,2,52.6,54.0,76.8,62.2,6,0.55,10,4,0,0,3,0
Chris Redman,635,QB,6,ATL,84,2,16,2.0,0,47.7,28.8,68.4,60.7,12,1.50,7,0,0,2,0,0
Tony Hunt,3706,HB,7,PHI,11,10,16,1.6,1,58.2,62.1,73.3,60.0,14,1.40,4,5,1,0,0,0
Ricky Williams,440,HB,1,MIA,7,6,15,2.5,0,29.9,35.0,17.7,60.0,7,1.17,6,2,0,1,0,0
Naufahu Tahi,3526,FB,4,MIN,12,6,15,2.5,0,47.5,52.6,71.1,48.6,11,1.83,6,0,0,0,0,0
Shaun Hill,1255,QB,3,SF,69,8,14,1.2,1,52.2,44.0,55.0,60.0,10,0.83,12,2,0,3,2,0
Anquan Boldin,1369,WR,12,ARZ,257,1,14,14.0,0,77.9,63.2,29.7,66.7,2,2.00,14,1,0,2,6,0
T.J. Houshmandzadeh,921,WR,16,CIN,367,5,14,2.8,0,82.3,61.1,38.9,72.1,9,1.80,8,0,1,2,5,0
Tony Richardson,110,FB,14,MIN,158,7,13,1.9,0,76.9,60.2,74.9,76.8,4,0.57,4,3,0,0,0,0
Santana Moss,786,WR,14,WAS,301,3,13,4.3,0,74.1,34.9,26.4,70.9,3,1.00,11,1,0,2,2,0
Luke Lawton,2099,FB,11,IND,55,5,13,2.6,0,56.9,50.5,72.2,57.7,9,1.80,4,1,0,0,0,0
Marc Bulger,684,QB,12,STR,262,7,13,1.4,0,61.8,27.9,50.2,60.0,0,0.00,14,1,0,6,3,0
Matt Cassel,2447,QB,5,NE,22,2,12,4.0,1,46.2,67.3,71.8,60.0,1,0.33,15,1,0,0,0,0
Tim Dwight,390,WR,6,OAK,49,2,12,6.0,0,55.8,62.6,70.6,60.3,0,0.00,10,1,0,0,1,0
Marty Booker,487,WR,15,MIA,304,2,12,6.0,0,61.0,36.0,37.7,70.6,4,2.00,12,2,0,1,2,1
Donte' Stallworth,1020,WR,16,NE,184,1,12,12.0,0,67.1,63.1,79.1,71.9,2,2.00,12,1,0,0,1,0
Hines Ward,380,WR,13,PIT,316,3,11,3.7,0,86.9,54.1,82.0,89.2,3,1.00,7,1,0,0,2,0
