player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
LeSean McCoy,4976,HB,16,PHI,365,314,1607,5.1,9,87.9,88.0,90.4,57.1,748,2.38,57,81,55,1,1,0
Matt Forte,4358,HB,16,CHI,308,289,1339,4.6,9,72.4,67.1,79.6,58.1,684,2.37,55,74,37,3,0,0
Jamaal Charles,4387,HB,15,KC,298,260,1279,4.9,12,83.7,84.6,57.8,64.2,578,2.22,46,73,40,4,3,1
Alfred Morris,7165,HB,16,WAS,333,276,1275,4.6,7,80.4,80.8,42.8,64.6,748,2.71,45,57,39,5,1,0
Adrian Peterson,3623,HB,14,MIN,292,279,1266,4.5,10,80.6,81.1,48.4,59.5,829,2.97,78,60,56,5,0,0
Marshawn Lynch,3628,HB,16,SEA,335,301,1262,4.2,12,87.8,86.9,58.5,61.4,752,2.50,43,68,72,4,1,0
Ryan Mathews,5537,HB,16,SD,305,284,1249,4.4,6,70.3,68.1,76.5,57.1,641,2.26,51,54,27,2,1,0
Eddie Lacy,7842,HB,15,GB,300,284,1178,4.1,11,87.5,83.5,87.1,64.7,647,2.28,60,62,49,2,0,0
Frank Gore,2282,HB,16,SF,320,276,1128,4.1,9,70.4,65.9,64.1,74.9,552,2.00,51,57,20,3,0,0
DeMarco Murray,6223,HB,14,DAL,226,217,1124,5.2,9,79.8,77.2,64.1,57.4,588,2.71,43,60,33,3,2,1
Chris Johnson,4338,HB,16,TEN,295,279,1077,3.9,6,62.4,66.2,67.3,45.2,513,1.84,30,53,19,3,3,1
Knowshon Moreno,4935,HB,16,DEN,249,241,1038,4.3,10,76.9,74.0,85.5,68.4,489,2.03,31,53,20,1,4,0
Reggie Bush,2947,HB,14,DET,253,223,1006,4.5,4,74.8,72.5,39.3,57.7,468,2.10,39,48,40,5,1,0
Zac Stacy,7942,HB,14,STR,266,250,976,3.9,7,70.2,69.4,84.3,65.5,612,2.45,40,47,25,1,0,0
C.J. Spiller,5534,HB,15,BUF,218,202,930,4.6,2,71.1,71.3,42.2,59.5,456,2.26,77,26,31,4,1,0
Fred Jackson,3368,HB,16,BUF,246,206,890,4.3,9,76.6,76.2,70.3,56.7,528,2.56,59,54,27,3,1,0
Le'Veon Bell,7829,HB,13,PIT,256,244,860,3.5,8,71.6,74.6,85.0,65.9,516,2.11,43,48,34,1,2,0
DeAngelo Williams,2972,HB,15,CAR,241,201,843,4.2,3,69.4,67.3,62.5,56.4,467,2.32,43,36,28,3,0,0
Chris Ivory,6007,HB,15,NYJ,212,182,833,4.6,3,73.7,78.3,67.1,55.1,548,3.01,69,34,36,2,0,0
Maurice Jones-Drew,3005,HB,15,JAX,248,234,803,3.4,5,72.6,66.3,84.6,68.1,516,2.21,48,44,25,1,0,0
Stevan Ridley,6225,HB,14,NE,186,178,772,4.3,7,74.6,74.2,33.4,57.7,388,2.18,29,39,22,4,0,0
Ben Tate,5583,HB,14,HST,191,181,771,4.3,4,67.3,73.9,29.9,58.3,431,2.38,60,34,40,5,1,0
LeGarrette Blount,5863,HB,16,NE,172,153,769,5.0,7,82.3,79.4,51.4,57.0,417,2.73,40,35,23,3,0,0
BenJarvus Green-Ellis,4599,HB,16,CIN,240,220,756,3.4,7,57.8,59.7,68.0,56.0,438,1.99,25,48,23,2,0,0
Rashad Jennings,5174,HB,15,OAK,201,163,733,4.5,6,78.6,74.3,90.7,59.4,456,2.80,80,35,16,0,2,2
Lamar Miller,7097,HB,16,MIA,197,177,709,4.0,2,69.9,73.0,79.1,47.6,364,2.06,49,27,20,1,1,0
Giovani Bernard,7818,HB,16,CIN,193,170,700,4.1,5,78.2,71.7,80.1,72.4,384,2.26,35,32,22,1,0,0
Bilal Powell,6278,HB,16,NYJ,222,176,697,4.0,1,64.5,64.7,79.4,64.9,383,2.18,39,35,24,1,1,1
Rashard Mendenhall,4337,HB,15,ARZ,228,217,687,3.2,8,65.1,62.7,44.4,58.1,392,1.81,28,43,28,4,0,0
Ray Rice,4369,HB,15,BLT,225,214,660,3.1,4,54.6,51.3,72.0,67.4,326,1.52,47,28,9,2,2,0
Joique Bell,5797,HB,16,DET,186,166,653,3.9,8,76.0,69.8,49.3,57.6,395,2.38,20,42,33,4,0,0
Andre Ellington,7968,HB,15,ARZ,145,118,652,5.5,3,84.2,88.4,73.4,67.9,372,3.15,80,27,20,1,0,0
Cam Newton,6153,QB,16,CAR,430,73,580,5.2,6,73.3,66.3,89.3,61.2,343,3.09,56,44,15,3,1,0
Terrelle Pryor Sr.,6944,QB,11,OAK,231,49,572,6.9,2,53.9,71.7,46.2,61.1,147,1.77,93,27,9,8,8,0
Montee Ball,7839,HB,16,DEN,139,120,559,4.7,4,72.5,77.6,33.5,68.0,306,2.55,45,35,19,3,0,0
Pierre Thomas,4080,HB,16,NO,171,147,549,3.7,2,79.2,76.1,79.6,62.9,323,2.20,18,31,17,1,0,0
Steven Jackson,1745,HB,12,ATL,158,157,543,3.5,6,69.9,71.5,90.4,60.0,319,2.03,50,26,18,0,1,0
Arian Foster,5398,HB,8,HST,122,121,542,4.5,1,73.6,77.8,89.9,60.0,249,2.06,23,31,9,0,0,0
Russell Wilson,7077,QB,16,SEA,431,45,539,5.6,1,83.6,73.8,56.4,60.0,176,1.83,27,31,8,10,9,0
Donald Brown,4950,HB,16,IND,112,102,537,5.3,6,76.3,77.2,88.7,58.3,335,3.28,51,20,20,0,0,0
Bobby Rainey Jr.,7511,HB,8,TB,146,137,532,3.9,5,80.5,79.3,77.3,57.5,394,2.88,80,23,17,1,0,0
Colin Kaepernick,6188,QB,16,SF,437,43,512,5.7,4,67.3,55.0,55.7,60.0,248,2.76,28,28,6,6,8,1
Andre Brown,5053,HB,8,NYG,146,139,494,3.6,3,64.1,67.9,28.6,58.1,285,2.05,23,31,12,3,1,0
James Starks,5716,HB,13,GB,95,89,493,5.5,3,78.7,79.9,63.3,58.3,267,3.00,41,27,16,1,0,0
Robert Griffin III,7008,QB,13,WAS,343,50,489,5.7,0,65.7,58.1,76.8,60.0,139,1.62,26,25,8,10,6,0
Trent Richardson,7009,HB,14,IND,173,157,458,2.9,3,63.9,61.7,67.2,66.4,299,1.90,22,26,29,2,0,0
Doug Martin,7035,HB,6,TB,133,127,456,3.6,1,61.6,65.2,71.7,59.9,274,2.16,28,16,11,1,0,0
Bernard Pierce,7085,HB,16,BLT,171,152,436,2.9,2,67.9,66.3,75.6,58.3,266,1.75,28,20,16,1,0,0
Alex Smith,2218,QB,15,KC,338,29,431,5.7,1,68.8,53.4,74.0,60.1,72,0.96,26,23,0,6,6,0
Danny Woodhead,4914,HB,16,SD,111,106,429,4.0,2,80.4,70.8,78.3,59.3,197,1.86,14,26,9,2,0,0
Daniel Thomas,6214,HB,15,MIA,122,109,406,3.7,4,74.5,76.3,88.8,59.1,220,2.02,55,17,20,0,0,0
Mark Ingram II,6180,HB,11,NO,92,78,386,4.9,1,80.6,84.5,86.1,58.2,188,2.41,34,18,18,0,2,0
Geno Smith,7820,QB,16,NYJ,433,40,381,5.4,6,60.7,58.8,69.7,62.9,99,1.39,32,23,3,8,6,1
Darren McFadden,4318,HB,10,OAK,143,114,379,3.3,5,56.1,60.0,75.5,61.2,221,1.94,30,17,11,1,0,0
Willis McGahee,1339,HB,12,CLV,149,138,377,2.7,2,66.0,65.4,72.2,58.3,243,1.76,16,28,12,1,0,0
Andrew Luck,7007,QB,16,IND,354,20,377,6.0,4,76.7,75.8,76.0,60.0,159,2.52,29,23,7,5,0,0
Mike Tolbert,4740,FB,16,CAR,240,101,361,3.6,5,72.3,64.8,88.7,71.3,204,2.02,22,31,9,0,2,0
Kendall Hunter,6267,HB,16,SF,97,78,358,4.6,3,66.3,70.3,61.7,57.2,201,2.58,45,18,12,1,0,0
Jacquizz Rodgers,6297,HB,15,ATL,103,96,332,3.5,2,74.7,65.3,90.6,68.5,193,2.01,19,19,15,1,0,0
Bryce Brown,7213,HB,16,PHI,89,75,314,4.2,2,66.4,65.9,86.1,57.3,219,2.92,65,16,9,0,1,0
Shonn Greene,4988,HB,11,TEN,80,77,295,3.8,4,65.5,69.4,86.4,59.7,164,2.13,29,18,5,0,1,0
Mike James,7970,HB,7,TB,63,60,295,4.9,0,87.6,89.7,85.1,66.7,186,3.10,24,14,7,0,1,0
Michael Vick,773,QB,7,PHI,144,21,295,7.8,2,61.1,67.3,29.1,60.0,66,1.74,61,17,2,5,2,0
Toby Gerhart,5576,HB,14,MIN,42,36,283,7.9,2,71.4,76.9,74.5,64.2,136,3.78,41,13,13,1,0,0
Roy Helu,6257,HB,16,WAS,79,62,274,4.4,4,60.5,64.0,26.6,78.7,133,2.15,24,19,12,2,0,0
