player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Brandon Bolden,7469,HB,10,NE,57,55,271,4.9,3,57.2,64.0,84.8,60.0,99,1.80,46,14,5,0,1,0
Robert Turbin,7106,HB,16,SEA,97,77,264,3.4,0,66.8,69.0,62.7,56.5,166,2.16,15,9,11,0,0,0
Benny Cunningham,8283,HB,13,STR,60,47,261,5.6,1,54.9,56.7,29.5,56.2,94,2.00,56,12,6,2,1,0
Jordan Todman,6335,HB,15,JAX,82,76,256,3.4,2,57.9,62.2,89.6,58.3,116,1.53,33,16,6,0,2,0
Peyton Hillis,4541,HB,7,NYG,79,73,247,3.4,2,57.4,54.0,33.9,68.5,155,2.12,27,12,6,2,0,0
Knile Davis,7878,HB,15,KC,79,70,242,3.5,4,54.0,55.9,26.9,57.5,134,1.91,20,10,7,2,0,0
Chris Ogbonnaya,5135,HB,16,CLV,94,49,240,4.9,0,59.5,61.0,36.7,61.5,107,2.18,43,14,4,2,0,0
Brandon Jacobs,2327,HB,7,NYG,58,58,238,4.1,4,62.3,65.2,49.6,,118,2.03,37,16,5,1,0,0
Khiry Robinson,8514,HB,10,NO,63,54,224,4.1,1,71.0,69.2,83.3,57.8,122,2.26,25,12,10,0,0,0
Nick Foles,7089,QB,13,PHI,305,40,221,3.9,3,76.1,40.8,75.9,60.3,38,0.67,21,15,0,4,4,0
Ryan Tannehill,7014,QB,16,MIA,333,25,220,5.6,1,80.4,49.8,66.0,60.0,70,1.79,48,13,1,8,2,0
Darren Sproles,2347,HB,15,NO,59,53,220,4.2,2,83.3,64.5,76.1,58.6,83,1.57,38,12,8,1,0,0
Marcel Reece,4702,FB,16,OAK,182,46,218,4.7,2,66.7,68.8,84.5,66.5,146,3.17,63,8,6,0,3,0
Ronnie Hillman,7069,HB,9,DEN,62,55,218,4.0,1,61.3,55.9,27.1,67.6,105,1.91,19,13,5,2,0,0
Ryan Fitzpatrick,2467,QB,11,TEN,251,14,216,5.0,3,68.1,55.9,39.2,60.0,125,2.91,26,14,5,9,2,0
Daryl Richardson,7233,HB,8,STR,72,69,215,3.1,0,56.4,56.2,85.8,67.3,111,1.61,14,12,5,0,0,0
Shane Vereen,6208,HB,8,NE,51,44,209,4.8,1,75.6,64.2,60.1,72.2,91,2.07,21,11,6,1,0,0
Jonathan Dwyer,5711,HB,15,PIT,55,49,197,4.0,0,81.3,81.3,90.2,67.4,102,2.08,30,16,3,0,0,0
Michael Bush,3716,HB,15,CHI,77,63,197,3.1,3,55.8,59.1,84.6,56.5,135,2.14,40,10,10,0,0,0
E.J. Manuel,7797,QB,10,BUF,301,28,190,3.7,2,53.0,36.3,47.5,60.0,39,0.75,19,14,0,7,2,0
Ahmad Bradshaw,3866,HB,3,IND,44,41,186,4.5,2,66.1,63.0,82.0,59.2,75,1.83,27,11,3,0,0,0
Felix Jones,4336,HB,16,PIT,50,48,184,3.8,0,58.1,59.4,58.6,60.0,90,1.88,14,9,4,1,0,0
Andy Dalton,6187,QB,16,CIN,440,36,183,3.0,2,73.7,44.5,87.9,60.4,57,0.93,12,15,1,4,3,0
Dennis Johnson,8070,HB,8,HST,49,49,183,3.7,0,59.2,61.6,84.7,,105,2.14,29,8,9,0,1,1
Brian Leonard,3668,HB,16,TB,55,47,182,3.9,0,79.4,76.6,84.6,59.8,98,2.09,24,12,3,0,1,0
Jonathan Stewart,4327,HB,6,CAR,52,48,180,3.8,0,66.3,62.7,46.8,60.0,123,2.56,16,7,10,1,0,0
Edwin Baker,7231,HB,3,CLV,44,43,171,4.0,2,70.0,67.4,82.6,60.0,98,2.28,20,11,2,0,0,0
Matt Asiata,6432,HB,3,MIN,50,44,166,3.8,3,61.1,64.1,44.4,54.6,112,2.55,39,12,2,1,0,0
Jason Snelling,3860,HB,14,ATL,59,44,164,3.7,1,70.1,67.4,88.5,55.3,97,2.20,17,9,2,0,0,0
Joseph Randle,7933,HB,7,DAL,59,54,164,3.0,2,53.0,58.9,86.3,68.8,121,2.24,19,7,5,0,0,0
Cordarrelle Patterson,7810,WR,16,MIN,135,11,158,13.2,3,80.3,95.1,87.8,64.5,119,9.92,50,7,12,0,1,0
Ronnie Brown,2219,HB,15,SD,52,45,157,3.5,1,57.1,51.2,84.2,57.5,82,1.82,13,8,3,0,0,0
Jake Locker,6160,QB,7,TEN,167,10,156,6.5,2,70.2,50.8,47.4,60.0,62,2.58,39,9,2,3,2,0
Christian Ponder,6164,QB,9,MIN,207,9,151,4.4,4,56.7,54.5,80.2,60.0,82,2.41,19,12,5,7,1,0
Tavon Austin,7789,WR,13,STR,99,9,151,16.8,1,70.0,90.9,43.1,67.0,19,2.11,65,3,2,1,0,0
Lance Dunbar,7332,HB,8,DAL,30,30,150,5.0,0,71.6,74.4,34.2,,113,3.77,45,8,9,1,0,0
David Wilson,7036,HB,5,NYG,45,44,146,3.3,1,63.7,65.9,27.3,60.0,104,2.36,18,10,11,2,1,0
Antone Smith,5440,HB,6,ATL,7,5,145,29.0,2,68.5,85.2,70.9,58.9,12,2.40,50,4,2,0,0,0
Jackie Battle,3885,HB,10,TEN,44,36,142,3.9,1,57.8,55.8,81.0,54.0,108,3.00,37,7,5,0,1,0
Joe Flacco,4332,QB,16,BLT,404,12,131,4.9,1,67.4,50.2,78.7,60.8,40,1.48,22,11,2,8,1,0
Tashard Choice,4436,HB,11,BUF,43,35,126,3.6,0,62.5,67.3,85.5,58.6,71,2.03,20,7,3,0,0,0
Aaron Rodgers,2241,QB,9,GB,228,13,120,4.0,0,85.0,61.3,87.0,60.0,37,1.23,18,9,0,4,1,0
Stepfan Taylor,7922,HB,13,ARZ,58,36,117,3.3,0,77.3,64.4,81.3,64.6,56,1.56,15,6,4,0,0,0
Jay Cutler,2956,QB,11,CHI,224,10,108,4.7,0,82.0,71.8,57.5,60.0,39,1.70,18,7,0,4,4,0
Johnathan Franklin,7907,HB,5,GB,20,19,107,5.6,1,53.1,45.2,20.7,60.0,82,4.32,51,7,5,2,0,0
Jason Campbell,2242,QB,9,CLV,142,1,107,7.6,0,62.3,79.9,63.1,61.1,4,0.29,21,6,0,3,3,0
Trent Richardson,7009,HB,2,CLV,31,31,105,3.4,0,63.9,61.7,67.2,66.4,75,2.42,10,3,11,0,0,0
Alshon Jeffery,7048,WR,16,CHI,315,16,105,6.6,0,86.6,72.4,27.9,89.0,42,2.63,38,6,2,3,5,2
Ben Roethlisberger,1732,QB,16,PIT,380,14,99,3.7,1,83.3,41.5,50.6,60.9,38,1.41,19,6,0,9,3,0
Chris Polk,7532,HB,9,PHI,20,11,98,8.9,3,70.0,74.7,81.6,58.1,79,7.18,38,5,2,0,0,0
Josh Gordon,7618,WR,14,CLV,263,5,88,17.6,0,82.6,86.0,83.1,66.8,49,9.80,34,4,1,0,2,0
Christine Michael,7843,HB,3,SEA,20,18,82,4.6,0,82.1,81.1,76.5,59.2,45,2.50,13,6,5,0,0,0
Fozzy Whittaker,8547,HB,10,CLV,36,28,79,2.8,0,58.3,61.9,59.5,58.2,45,1.61,11,3,3,0,0,0
Randall Cobb,6216,WR,6,GB,109,4,78,19.5,0,78.2,59.4,79.2,86.2,11,2.75,67,1,4,0,1,0
Chad Henne,4371,QB,15,JAX,309,17,76,2.7,0,58.5,39.6,84.1,60.1,48,1.71,14,7,1,3,7,0
Jonathan Grimes,7585,HB,2,HST,22,21,73,3.5,1,62.8,66.1,27.5,60.0,26,1.24,12,6,0,1,0,0
Da'Rel Scott,6373,HB,5,NYG,21,20,73,3.7,0,58.6,48.5,78.9,60.0,37,1.85,16,3,0,0,0,0
Case Keenum,7323,QB,8,HST,176,9,72,5.1,1,60.9,58.4,38.8,60.0,26,1.86,22,6,1,6,2,0
Philip Rivers,1725,QB,16,SD,455,12,72,2.6,0,87.0,34.4,90.7,60.0,31,1.11,18,5,0,3,6,1
Josh McCown,1085,QB,8,CHI,159,5,69,5.3,1,86.4,69.6,90.4,60.0,26,2.00,20,5,0,3,1,0
Matthew Stafford,4924,QB,16,DET,430,26,67,1.8,2,80.1,29.5,61.7,60.0,34,0.92,14,12,2,12,6,0
Denard Robinson,7917,HB,14,JAX,23,20,66,3.3,0,29.5,31.0,16.4,59.6,48,2.40,24,3,1,3,0,0
Marvin Jones Jr.,7158,WR,16,CIN,148,8,65,8.1,0,86.5,75.7,80.7,53.0,25,3.13,34,3,3,0,2,0
Tyrod Taylor,6332,QB,3,BLT,11,5,64,9.1,0,61.1,63.7,73.5,60.0,9,1.29,25,5,1,0,0,0
Vick Ballard,7162,HB,1,IND,13,13,63,4.8,0,65.0,63.3,74.9,,26,2.00,12,4,0,0,0,0
Tommy Bohanon,7997,FB,16,NYJ,194,17,62,3.6,0,59.7,56.8,78.0,58.0,34,2.00,8,4,0,0,0,0
Mike Goodson,5034,HB,2,NYJ,13,7,61,8.7,0,80.5,82.4,72.3,60.6,41,5.86,26,2,3,0,0,0
Kellen Clemens,2994,QB,10,STR,261,14,61,2.7,0,62.6,29.5,44.9,60.0,31,1.35,16,4,0,7,1,0
Matt Flynn,4523,QB,5,GB,112,6,61,3.6,0,53.2,26.6,37.5,60.4,16,0.94,17,2,0,4,0,0
LaMichael James,7063,HB,8,SF,14,12,59,4.9,0,62.9,64.4,90.2,60.0,19,1.58,21,2,2,0,0,0
Jerrel Jernigan,6235,WR,15,NYG,61,2,57,28.5,1,86.5,91.0,42.2,89.2,51,25.50,49,1,2,0,0,0
Matt Cassel,2447,QB,9,MIN,165,7,57,3.2,1,64.1,45.1,56.5,60.0,20,1.11,13,3,1,3,0,0
Anthony Dixon,5696,HB,12,SF,66,28,56,2.0,2,51.9,49.9,84.0,60.1,41,1.46,9,5,1,0,0,0
Scott Tolzien,6749,QB,3,GB,55,0,55,11.0,1,71.1,70.7,85.1,60.0,32,6.40,19,4,3,0,0,0
Joshua Cribbs,2544,WR,6,NYJ,20,13,55,4.2,0,66.6,64.2,85.2,60.2,31,2.38,9,2,1,0,0,0
Alfonso Smith,5877,HB,14,ARZ,28,18,54,3.0,1,51.8,39.7,20.7,56.8,46,2.56,21,6,3,2,0,0
Matt Ryan,4317,QB,16,ATL,309,9,53,3.1,0,76.6,40.6,89.2,60.0,38,2.24,17,5,0,5,2,0
Chase Daniel,5214,QB,5,KC,52,9,52,3.7,0,61.0,62.7,81.6,60.0,17,1.21,29,3,0,0,0,0
Thaddeus Lewis,5817,QB,6,BUF,165,15,52,2.2,1,61.0,29.5,26.1,60.0,19,0.79,8,4,2,7,0,0
Drew Brees,802,QB,16,NO,363,23,52,1.5,3,85.5,41.5,75.6,60.0,12,0.34,16,6,0,6,10,0
Deji Karim,5703,HB,2,HST,12,12,51,4.3,0,77.1,79.2,77.0,,24,2.00,14,3,2,0,0,0
Frank Summers,5093,FB,13,BUF,166,12,46,3.8,1,66.0,67.3,75.9,61.4,32,2.67,16,3,3,0,1,0
Jed Collins,4743,FB,16,NO,256,15,45,3.0,1,65.1,57.9,77.9,72.2,26,1.73,12,9,1,0,2,0
Travis Benjamin,7100,WR,8,CLV,36,1,45,45.0,0,59.1,70.0,83.2,61.6,20,20.00,45,1,1,0,0,0
Brandon Weeden,7028,QB,8,CLV,135,5,44,3.7,0,62.7,45.6,63.4,60.7,0,0.00,11,2,0,6,5,0
Tashard Choice,4436,HB,3,IND,15,11,44,4.0,0,62.5,67.3,85.5,58.6,16,1.45,8,1,1,0,0,0
MarQueis Gray,8286,TE,12,CLV,57,6,43,7.2,0,52.7,62.0,71.6,60.6,17,2.83,18,3,0,0,0,0
Michael Cox,8036,HB,3,NYG,24,22,43,2.0,0,63.9,61.0,84.0,60.0,28,1.27,9,1,3,0,0,0
Darrel Young,5438,FB,13,WAS,140,12,41,3.4,3,62.5,66.2,75.2,71.9,19,1.58,19,7,1,0,2,1
Jeremy Ross,6476,WR,9,DET,78,2,40,20.0,0,61.7,89.8,86.7,65.2,20,10.00,24,2,2,0,0,0
John Kuhn,2686,FB,14,GB,127,10,38,3.8,1,74.8,61.0,81.6,78.2,13,1.30,12,7,0,0,0,0
C.J. Anderson,8101,HB,3,DEN,9,7,38,5.4,0,73.6,85.3,71.4,60.0,22,3.14,11,3,1,0,0,0
Matt Simms,7423,QB,3,NYJ,26,1,37,7.4,0,33.7,50.6,79.0,60.0,29,5.80,22,1,0,1,0,0
Tony Romo,1693,QB,15,DAL,302,12,37,1.9,0,78.1,28.3,87.6,60.0,1,0.05,15,3,0,2,4,0
Eli Manning,1722,QB,16,NYG,352,12,36,2.0,0,68.7,46.1,67.2,60.0,46,2.56,14,3,0,7,12,0
Alex Green,6248,HB,8,NYJ,21,11,35,3.2,0,60.7,61.2,74.4,56.7,20,1.82,9,2,0,0,0,0
Mike Glennon,7854,QB,13,TB,322,15,35,1.3,0,63.8,40.2,80.4,60.0,30,1.11,16,4,0,5,6,1
Josh Aubrey,8428,S,1,CLV,1,1,34,34.0,0,64.9,63.1,61.9,,35,35.00,34,1,1,0,0,0
Bobby Rainey Jr.,7511,HB,4,CLV,16,13,34,2.6,0,80.5,79.3,77.3,57.5,20,1.54,7,0,3,0,0,0
Stedman Bailey,7873,WR,10,STR,64,2,33,16.5,1,70.9,59.5,74.7,67.0,3,1.50,27,1,0,0,1,0
Dan Herron,7179,HB,2,IND,6,5,33,6.6,0,68.4,62.0,90.5,60.0,15,3.00,22,2,0,0,0,0
Mike Wallace,5007,WR,16,MIA,284,3,33,11.0,0,69.9,80.4,81.9,72.8,22,7.33,13,2,3,0,4,1
Le'Ron McClain,3753,FB,16,SD,116,11,32,2.9,0,70.0,61.9,74.4,67.4,18,1.64,7,7,1,0,0,0
Blaine Gabbert,6162,QB,3,JAX,50,2,32,3.6,0,38.6,41.5,38.5,60.3,7,0.78,7,0,0,3,1,0
Golden Tate,5585,WR,16,SEA,287,3,31,10.3,0,81.9,76.7,57.6,61.6,25,8.33,20,1,2,1,5,0
Sam Bradford,5526,QB,7,STR,148,8,31,2.1,0,72.6,34.7,55.4,60.0,2,0.13,23,1,0,3,0,0
Justin Forsett,4547,HB,9,JAX,7,6,31,5.2,0,64.2,66.2,25.7,77.7,15,2.50,10,1,1,1,0,0
Ted Ginn Jr.,3625,WR,16,CAR,134,4,29,7.3,0,73.1,69.2,90.2,69.2,6,1.50,14,2,0,0,2,0
Matt McGloin,8374,QB,7,OAK,141,8,27,2.5,0,59.8,30.3,34.0,61.5,1,0.09,20,2,1,5,1,0
Quinton Patton,7910,WR,6,SF,13,1,26,26.0,0,58.1,63.1,69.1,77.0,2,2.00,26,1,0,0,0,0
Darrius Heyward-Bey,4930,WR,16,IND,192,3,26,8.7,0,53.7,67.1,77.6,79.5,4,1.33,30,1,0,0,2,0
Emmanuel Sanders,5606,WR,16,PIT,235,1,25,25.0,0,71.3,69.8,53.7,75.2,3,3.00,25,1,0,1,3,1
Santana Moss,786,WR,16,WAS,81,3,25,8.3,0,58.1,63.5,51.1,84.7,8,2.67,18,1,0,1,2,0
Theo Riddick,7980,HB,11,DET,15,9,25,2.8,1,66.9,65.2,74.6,59.1,17,1.89,7,2,2,0,0,0
Matt Schaub,1811,QB,10,HST,205,1,24,4.8,0,58.6,60.8,85.1,60.0,4,0.80,7,1,0,2,2,0
Cyrus Gray,7655,HB,12,KC,16,9,24,2.7,0,57.1,48.8,74.8,78.1,20,2.22,9,1,2,0,0,0
Vonta Leach,2100,FB,16,BLT,160,11,23,2.1,0,56.3,48.9,81.7,61.0,9,0.82,6,3,0,0,1,0
Michael Hill,8302,HB,3,TB,9,9,23,2.6,0,56.9,54.1,74.1,,16,1.78,10,1,1,0,0,0
Taiwan Jones,6277,CB,4,OAK,7,5,23,4.6,0,80.9,49.8,25.1,60.1,24,4.80,19,1,0,0,0,0
Kyle Williams,5729,WR,9,SF,120,2,23,11.5,0,52.9,68.5,29.9,56.8,7,3.50,13,2,1,0,0,0
Dashon Goldson,3742,S,1,TB,1,1,22,22.0,0,65.8,62.9,61.9,,0,0.00,22,1,0,0,6,0
Isaiah Pead,7053,HB,7,STR,8,7,21,3.0,0,65.2,57.4,77.5,60.0,20,2.86,11,2,1,0,0,0
Patrick Peterson,6157,CB,12,ARZ,12,4,21,5.3,0,75.6,61.9,47.7,60.2,8,2.00,12,2,0,0,6,0
Eddie Royal,4356,WR,15,SD,233,3,21,7.0,0,74.9,55.1,81.4,83.6,5,1.67,15,1,0,0,0,0
Mike Gillislee,7946,HB,1,MIA,6,6,21,3.5,0,74.8,73.4,70.6,,10,1.67,6,1,0,0,0,0
Pierre Garcon,4519,WR,16,WAS,337,2,19,9.5,0,82.2,59.5,60.9,78.4,3,1.50,10,1,0,1,4,0
Eric Page,8539,WR,11,TB,13,1,19,19.0,0,63.4,69.2,40.8,59.3,6,6.00,19,1,1,0,0,0
LaRod Stephens-Howling,5164,HB,1,PIT,6,6,19,3.2,0,37.2,46.4,72.5,,11,1.83,5,0,0,0,0,0
Josh Johnson,4474,QB,2,CIN,14,6,18,2.6,0,43.5,45.8,22.0,60.0,21,3.00,10,2,0,1,0,0
Marcus Thigpen,5488,HB,11,MIA,9,6,18,3.0,0,61.6,51.6,90.3,58.4,9,1.50,9,1,0,0,0,0
Riley Cooper,5682,WR,16,PHI,407,0,18,,0,71.3,56.7,82.6,63.6,,,18,1,0,0,1,0
Jordan Reed,7866,TE,9,WAS,120,1,18,18.0,0,89.0,63.2,78.9,76.4,1,1.00,18,1,0,0,0,0
Jeff Tuel,8508,QB,2,BUF,44,1,17,5.7,0,46.0,59.2,82.4,60.0,0,0.00,14,1,0,0,0,0
Cedric Peerman,5109,HB,6,CIN,20,8,17,2.1,0,67.8,66.0,73.0,58.2,15,1.88,5,0,2,0,0,0
Rod Streater,7416,WR,16,OAK,225,2,17,8.5,0,74.3,61.9,59.2,66.0,8,4.00,9,0,0,1,3,1
Tom Brady,698,QB,16,NE,467,28,17,0.5,0,78.8,28.4,63.8,60.0,7,0.23,11,5,0,8,2,0
Robert Woods,7822,WR,14,BUF,388,2,16,8.0,0,63.9,58.6,82.1,71.8,2,1.00,13,1,0,0,3,1
Mohamed Sanu,7084,WR,16,CIN,258,4,16,4.0,0,62.9,51.6,40.4,70.7,9,2.25,9,0,0,1,1,0
Brian Hoyer,5277,QB,3,CLV,47,4,16,2.7,0,73.6,53.7,85.6,60.3,13,2.17,11,1,1,0,1,0
Brandon LaFell,5602,WR,16,CAR,348,2,15,7.5,0,65.1,68.3,80.0,72.7,8,4.00,9,1,1,1,3,0
Skye Dawson,8453,WR,7,TB,35,2,15,7.5,0,60.6,71.7,73.3,56.2,13,6.50,14,1,2,0,0,0
Charles Clay,6326,TE,16,MIA,263,7,15,2.1,1,76.3,59.3,86.6,63.5,11,1.57,13,2,1,0,3,0
Jacoby Ford,5632,WR,14,OAK,117,5,15,3.0,0,55.8,58.2,19.8,64.9,23,4.60,4,0,1,1,0,0
