player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Adrian Peterson,3623,HB,16,MIN,364,348,2097,6.0,12,92.3,92.4,66.8,60.2,1369,3.93,82,85,60,4,0,0
Alfred Morris,7165,HB,16,WAS,420,335,1613,4.8,13,91.0,90.4,60.8,62.6,1001,2.99,39,85,57,4,2,0
Marshawn Lynch,3628,HB,16,SEA,358,315,1590,5.0,11,82.2,83.6,49.4,62.6,872,2.77,77,71,58,5,1,0
Jamaal Charles,4387,HB,16,KC,301,285,1509,5.3,5,77.5,77.0,46.2,61.0,634,2.22,91,62,18,5,1,0
Doug Martin,7035,HB,16,TB,342,319,1454,4.6,11,79.1,79.0,89.5,57.5,1005,3.15,70,58,52,1,3,0
Arian Foster,5398,HB,16,HST,363,351,1424,4.1,15,72.5,77.5,76.0,57.2,766,2.18,46,79,28,3,0,0
Stevan Ridley,6225,HB,16,NE,311,290,1263,4.4,12,69.0,73.8,54.4,65.8,714,2.46,41,82,28,4,2,0
C.J. Spiller,5534,HB,16,BUF,231,207,1244,6.0,6,91.7,92.1,58.1,72.4,742,3.58,62,53,48,3,0,0
Chris Johnson,4338,HB,16,TEN,291,276,1243,4.5,6,62.3,66.8,48.5,69.2,557,2.02,94,46,26,5,1,1
Frank Gore,2282,HB,16,SF,304,258,1214,4.7,8,72.1,72.4,74.3,68.7,682,2.64,37,67,29,2,2,0
Ray Rice,4369,HB,16,BLT,287,257,1143,4.4,9,77.8,72.8,86.8,65.7,606,2.36,46,52,18,1,2,0
BenJarvus Green-Ellis,4599,HB,15,CIN,307,278,1094,3.9,6,62.6,62.1,65.8,63.0,576,2.07,48,54,17,3,0,0
Matt Forte,4358,HB,15,CHI,263,248,1094,4.4,5,67.6,65.2,74.6,56.5,597,2.41,46,45,22,2,0,0
Shonn Greene,4988,HB,16,NYJ,312,276,1063,3.9,8,66.3,70.4,57.4,58.9,593,2.15,36,53,15,4,1,0
Steven Jackson,1745,HB,16,STR,276,258,1045,4.1,4,75.2,76.9,91.3,56.4,693,2.69,46,47,22,0,1,0
Ahmad Bradshaw,3866,HB,14,NYG,226,221,1015,4.6,6,79.9,74.9,57.6,58.5,550,2.49,37,58,18,3,1,0
Reggie Bush,2947,HB,16,MIA,251,227,986,4.3,6,65.2,71.6,53.3,64.9,468,2.06,65,43,29,4,3,2
Trent Richardson,7009,HB,15,CLV,293,267,950,3.6,11,72.5,74.7,69.8,57.1,558,2.09,32,36,38,3,2,0
LeSean McCoy,4976,HB,12,PHI,232,200,840,4.2,2,77.9,75.5,47.1,65.3,504,2.52,34,46,39,4,2,1
Robert Griffin III,7008,QB,15,WAS,435,74,822,7.0,9,83.6,55.3,27.0,60.1,259,2.19,76,40,8,13,6,0
Vick Ballard,7162,HB,16,IND,243,211,814,3.9,2,70.6,70.7,43.0,57.4,531,2.52,26,50,29,3,1,0
Michael Turner,1873,HB,16,ATL,231,222,800,3.6,10,65.3,67.0,61.2,57.8,503,2.27,43,40,36,3,0,0
Mikel Leshoure,6209,HB,14,DET,232,215,798,3.7,9,69.1,68.6,58.9,61.9,431,2.00,16,47,12,3,0,0
DeAngelo Williams,2972,HB,16,CAR,220,172,737,4.3,5,65.6,64.9,62.3,61.3,542,3.15,65,32,15,2,0,0
Willis McGahee,1339,HB,10,DEN,175,167,731,4.4,4,70.7,72.8,28.0,57.3,396,2.37,31,44,13,5,2,0
Cam Newton,6153,QB,16,CAR,424,93,726,5.7,9,72.4,75.4,72.2,61.2,329,2.59,72,48,17,10,3,0
Darren McFadden,4318,HB,12,OAK,230,216,709,3.3,2,52.7,58.1,71.1,60.4,418,1.94,64,33,16,2,1,0
Ryan Mathews,5537,HB,12,SD,197,184,707,3.8,1,73.3,68.7,66.9,59.4,479,2.60,31,35,22,2,0,0
DeMarco Murray,6223,HB,10,DAL,178,161,663,4.1,4,70.2,71.1,49.4,57.7,400,2.48,48,40,21,3,0,0
Jonathan Dwyer,5711,HB,13,PIT,167,156,623,4.0,2,69.7,68.0,60.1,60.4,433,2.78,34,28,14,2,0,0
Mark Ingram II,6180,HB,16,NO,163,156,602,3.9,5,77.6,78.1,90.2,56.9,431,2.76,31,28,22,0,1,0
Bryce Brown,7213,HB,16,PHI,120,115,564,4.9,4,65.0,70.2,26.4,60.1,382,3.32,65,34,19,4,0,0
Bernard Pierce,7085,HB,16,BLT,123,108,532,4.9,1,83.1,83.3,88.6,58.6,376,3.48,78,22,21,0,1,0
Knowshon Moreno,4935,HB,8,DEN,142,138,525,3.8,4,73.1,69.3,74.6,59.2,296,2.14,20,33,12,1,0,0
Russell Wilson,7077,QB,16,SEA,457,43,483,5.2,4,89.5,76.1,74.9,60.0,169,1.82,25,30,10,5,6,0
Daryl Richardson,7233,HB,16,STR,104,98,475,4.8,0,56.9,61.5,29.6,59.2,272,2.78,53,19,11,3,1,0
Pierre Thomas,4080,HB,15,NO,110,105,473,4.5,1,82.5,78.5,89.5,58.3,292,2.78,48,16,19,0,0,0
Alex Green,6248,HB,11,GB,148,135,464,3.4,0,62.1,62.2,73.2,56.6,284,2.10,41,17,12,1,0,0
Bilal Powell,6278,HB,14,NYJ,121,110,437,4.0,4,64.7,65.6,89.0,59.4,197,1.79,18,23,9,0,0,0
Fred Jackson,3368,HB,10,BUF,123,115,437,3.8,3,66.2,62.9,25.2,80.4,276,2.40,15,26,20,5,0,0
Donald Brown,4950,HB,10,IND,114,108,417,3.9,1,63.8,71.1,88.8,59.3,259,2.40,19,20,15,0,0,0
Colin Kaepernick,6188,QB,13,SF,246,36,416,6.9,6,73.3,42.1,22.8,60.4,51,0.85,50,20,3,9,5,0
Joique Bell,5797,HB,16,DET,88,82,414,5.0,3,72.6,73.5,68.3,58.6,245,2.99,67,16,10,1,2,0
Maurice Jones-Drew,3005,HB,6,JAX,94,86,414,4.8,1,65.8,66.9,64.0,59.2,196,2.28,59,21,12,1,0,0
Michael Bush,3716,HB,13,CHI,116,114,411,3.6,5,72.1,71.4,69.2,36.9,262,2.30,20,29,12,1,0,0
Isaac Redman,5233,HB,14,PIT,120,110,410,3.7,2,75.4,70.1,31.3,58.1,332,3.02,28,27,26,3,0,0
Felix Jones,4336,HB,16,DAL,121,111,402,3.6,3,60.3,57.4,71.0,57.1,232,2.09,22,23,5,1,0,0
Andre Brown,5053,HB,8,NYG,77,73,385,5.3,8,74.2,77.6,86.1,59.5,245,3.36,31,25,8,0,1,0
Justin Forsett,4547,HB,12,HST,71,63,374,5.9,1,90.5,87.2,84.4,57.3,259,4.11,81,14,9,0,1,0
Kendall Hunter,6267,HB,11,SF,89,72,371,5.2,2,82.3,82.2,86.0,66.9,203,2.82,26,18,10,0,0,0
Jacquizz Rodgers,6297,HB,16,ATL,111,94,362,3.9,1,69.3,60.0,89.1,71.5,256,2.72,43,17,15,0,1,1
David Wilson,7036,HB,14,NYG,78,71,358,5.0,4,66.0,68.8,55.9,57.7,189,2.66,52,17,8,1,0,0
LaRod Stephens-Howling,5164,HB,14,ARZ,117,110,356,3.2,4,69.5,75.9,89.0,45.7,257,2.34,52,15,22,0,0,0
Robert Turbin,7106,HB,16,SEA,101,80,354,4.4,0,73.9,75.0,86.8,55.3,179,2.24,26,15,9,0,0,0
Michael Vick,773,QB,10,PHI,226,22,344,5.6,1,57.8,46.7,29.7,60.0,78,1.28,20,20,1,10,2,0
Jonathan Stewart,4327,HB,9,CAR,125,93,336,3.6,1,69.3,65.1,43.0,79.8,235,2.53,21,14,16,2,0,0
Ronnie Hillman,7069,HB,14,DEN,100,85,330,3.9,1,56.7,58.5,61.9,56.6,157,1.85,31,19,6,2,0,0
Daniel Thomas,6214,HB,12,MIA,109,91,325,3.6,4,56.5,58.7,28.1,57.4,212,2.33,20,15,9,3,0,0
Jackie Battle,3885,HB,14,SD,108,95,311,3.3,3,58.2,51.4,87.9,57.1,208,2.19,52,19,7,0,0,0
Peyton Hillis,4541,HB,13,KC,104,85,309,3.6,1,72.6,71.5,38.2,71.7,206,2.42,18,19,7,2,1,0
Danny Woodhead,4914,HB,16,NE,80,76,301,4.0,4,67.4,66.6,65.5,60.0,129,1.70,19,20,3,1,0,0
Jake Locker,6160,QB,11,TEN,198,10,291,7.1,1,70.8,77.4,50.1,60.0,84,2.05,32,14,4,4,6,0
Rashad Jennings,5174,HB,10,JAX,109,101,283,2.8,2,59.6,56.3,29.7,59.0,195,1.93,21,16,6,3,0,0
Ben Tate,5583,HB,11,HST,73,65,279,4.3,2,80.9,79.1,56.6,59.2,171,2.63,25,17,7,1,0,0
Brandon Bolden,7469,HB,8,NE,62,56,274,4.9,2,74.4,74.6,83.7,58.1,162,2.89,27,18,10,0,0,0
Montario Hardesty,5584,HB,11,CLV,71,65,271,4.2,1,52.5,55.4,28.4,58.0,136,2.09,25,12,3,2,0,0
Marcel Reece,4702,FB,16,OAK,200,59,271,4.6,0,80.5,75.9,64.2,89.8,200,3.39,17,16,11,2,3,0
Aaron Rodgers,2241,QB,16,GB,369,18,259,4.8,2,90.1,65.7,81.0,60.0,77,1.43,27,20,2,5,4,0
Andrew Luck,7007,QB,16,IND,405,27,255,4.1,5,65.9,68.3,78.8,60.0,102,1.65,19,23,3,10,4,0
James Starks,5716,HB,6,GB,74,71,255,3.6,1,60.2,65.8,56.7,60.0,158,2.23,22,12,6,1,0,0
Christian Ponder,6164,QB,16,MIN,443,20,253,4.2,2,57.0,64.0,76.1,60.1,66,1.10,29,11,2,7,1,0
Shane Vereen,6208,HB,13,NE,67,62,251,4.0,3,67.4,68.1,53.6,59.1,133,2.15,16,15,4,1,0,0
Lamar Miller,7097,HB,10,MIA,66,51,250,4.9,1,66.0,68.4,83.4,55.7,140,2.75,28,12,6,0,0,0
Cedric Benson,2221,HB,5,GB,82,71,248,3.5,1,61.5,58.3,59.3,58.6,156,2.20,11,10,7,1,0,0
Darren Sproles,2347,HB,13,NO,57,48,244,5.1,1,65.7,67.3,86.8,58.3,90,1.88,47,9,8,0,0,0
Beanie Wells,4954,HB,8,ARZ,92,88,234,2.7,5,57.6,59.6,61.8,60.1,120,1.36,31,11,4,1,0,0
Shaun Draughn,6440,HB,14,KC,62,59,233,3.9,2,54.3,61.6,58.4,60.1,107,1.81,25,16,3,1,1,0
Jay Cutler,2956,QB,15,CHI,383,17,233,5.7,0,72.6,68.7,56.1,60.0,16,0.39,24,15,2,8,4,0
Mike Goodson,5034,HB,11,OAK,36,35,221,6.3,0,83.5,82.2,82.2,60.0,171,4.89,43,6,8,0,1,1
Ronnie Brown,2219,HB,14,SD,46,46,220,4.8,0,70.5,64.4,85.3,,115,2.50,21,12,4,0,0,0
Chris Ivory,6007,HB,6,NO,44,40,217,5.4,2,90.3,88.4,81.6,59.3,189,4.73,56,7,12,0,0,0
William Powell,6939,HB,12,ARZ,65,60,217,3.6,0,71.1,73.2,84.9,60.1,135,2.25,17,10,9,0,1,0
Ryan Tannehill,7014,QB,16,MIA,393,36,211,4.3,2,68.4,42.8,71.2,60.0,64,1.31,31,16,2,9,1,0
Montell Owens,3452,HB,10,JAX,57,42,209,5.0,1,75.2,75.6,82.7,80.6,91,2.17,32,10,5,0,0,0
Tashard Choice,4436,HB,11,BUF,57,47,193,4.1,1,63.6,68.2,82.7,54.3,92,1.96,22,9,3,0,0,0
Ryan Fitzpatrick,2467,QB,16,BUF,402,15,191,4.2,1,54.0,60.8,59.9,63.1,50,1.09,20,9,3,8,2,0
Mike Tolbert,4740,FB,16,CAR,159,54,183,3.4,7,77.0,72.1,84.8,66.7,139,2.57,13,24,3,0,0,0
Rashard Mendenhall,4337,HB,6,PIT,52,51,182,3.6,0,54.2,49.3,23.2,60.0,122,2.39,20,8,6,3,0,0
Joe McKnight,5636,HB,13,NYJ,38,30,179,6.0,0,60.9,64.8,28.9,60.7,140,4.67,61,7,6,1,0,0
Cedric Peerman,5109,HB,10,CIN,36,34,178,5.2,1,71.4,71.1,81.1,60.0,115,3.38,31,8,4,0,2,1
Toby Gerhart,5576,HB,16,MIN,66,50,169,3.4,1,55.2,51.0,28.4,65.2,95,1.90,22,10,3,2,0,0
Ryan Williams,6190,HB,5,ARZ,62,58,164,2.8,0,59.8,58.6,26.9,60.0,136,2.34,25,7,8,2,0,0
Lance Ball,4808,HB,13,DEN,46,42,158,3.8,1,58.6,69.1,43.2,58.4,89,2.12,22,10,6,1,0,0
DuJuan Harris,6595,HB,4,GB,35,34,157,4.6,2,65.9,64.9,80.6,60.0,96,2.82,21,8,5,0,0,0
LeGarrette Blount,5863,HB,13,TB,43,41,151,3.7,2,62.9,63.7,82.0,60.0,75,1.83,35,7,0,0,0,0
Matt Cassel,2447,QB,9,KC,247,11,145,5.4,1,56.7,43.1,44.8,60.8,50,1.85,21,12,2,9,4,0
Jalen Parmele,4490,HB,10,JAX,50,40,143,3.6,0,56.5,56.2,81.8,51.7,86,2.15,28,8,5,0,0,0
Matt Ryan,4317,QB,16,ATL,348,14,141,4.1,1,84.6,43.2,88.1,60.0,12,0.35,16,7,1,3,1,0
Josh Freeman,4940,QB,16,TB,392,20,139,3.6,0,61.9,50.3,82.9,60.1,32,0.82,13,16,2,10,6,0
Kevin Smith,4378,HB,12,DET,42,37,134,3.6,1,63.4,62.6,81.8,73.6,72,1.95,19,4,1,0,0,0
Randall Cobb,6216,WR,15,GB,175,10,132,13.2,0,82.9,82.8,83.5,66.7,89,8.90,28,7,3,0,0,0
Alex Smith,2218,QB,10,SF,211,16,131,4.4,0,68.0,63.8,83.5,60.2,23,0.77,24,7,0,3,4,0
Ryan Grant,2609,HB,4,GB,34,31,127,4.1,2,62.8,62.2,29.4,59.2,53,1.71,18,8,2,1,0,0
LaMichael James,7063,HB,4,SF,33,27,125,4.6,0,66.1,63.2,28.8,59.3,91,3.37,26,8,5,1,0,0
Armando Allen,6723,HB,9,CHI,30,27,124,4.6,1,70.8,69.4,79.1,59.2,74,2.74,46,6,2,0,0,0
Delone Carter,6271,HB,8,IND,33,32,122,3.8,3,72.6,82.6,29.6,60.0,83,2.59,20,11,4,1,0,0
Matthew Stafford,4924,QB,16,DET,366,13,122,3.7,3,73.6,62.9,77.9,60.0,16,0.48,11,10,0,6,2,0
Sam Bradford,5526,QB,16,STR,385,17,122,3.5,1,70.4,48.5,71.1,60.0,16,0.46,21,9,0,7,9,0
Andy Dalton,6187,QB,16,CIN,391,28,120,2.6,4,64.5,56.1,90.7,60.2,66,1.40,17,14,0,4,6,0
Brad Smith,3048,WR,15,BUF,122,14,116,8.3,1,64.5,68.6,77.8,66.3,46,3.29,35,7,1,1,0,0
Curtis Brinkley,5514,HB,6,SD,46,39,115,2.9,0,56.5,47.8,45.2,60.6,76,1.95,13,8,3,1,0,0
Brandon Weeden,7028,QB,15,CLV,342,13,111,4.1,0,50.1,40.2,83.8,60.7,93,3.44,25,11,0,6,2,0
Brian Leonard,3668,HB,15,CIN,43,33,106,3.2,0,58.4,64.9,81.1,67.4,64,1.94,11,7,0,0,1,0
Chris Rainey,7152,HB,16,PIT,35,26,102,3.9,2,50.9,73.6,19.7,73.9,65,2.50,19,5,4,3,0,0
Jeremy Stewart,7534,HB,4,OAK,26,25,101,4.0,0,73.7,69.0,79.4,60.0,73,2.92,14,3,1,0,0,0
Kevin Kolb,3652,QB,6,ARZ,118,9,100,6.3,1,68.1,75.1,75.5,60.0,19,1.19,22,7,0,2,2,0
Percy Harvin,4945,WR,9,MIN,138,22,96,4.4,1,90.8,48.1,29.4,66.8,45,2.05,20,6,5,2,1,0
Richard Murphy,6602,HB,5,JAX,25,23,92,4.0,0,61.9,63.1,78.2,71.4,56,2.43,14,3,1,0,0,0
Evan Royster,6329,HB,16,WAS,43,23,88,3.8,2,56.4,63.0,79.7,74.6,62,2.70,12,8,5,0,0,0
Tim Tebow,5550,QB,12,NYJ,46,29,88,3.0,0,53.4,55.0,80.7,60.1,71,2.45,22,7,2,0,1,0
Ben Roethlisberger,1732,QB,13,PIT,310,12,86,3.6,0,86.0,55.6,66.2,60.0,15,0.63,14,5,0,4,3,0
Leon Washington,3062,HB,11,SEA,24,23,83,3.6,1,62.7,72.2,78.9,60.0,63,2.74,14,3,2,0,0,0
Jacob Hester,4383,FB,3,DEN,24,17,81,4.8,2,65.3,65.3,76.7,57.3,42,2.47,18,5,1,0,0,0
Anthony Dixon,5696,HB,8,SF,27,21,78,3.7,2,68.2,68.3,77.4,56.8,38,1.81,9,3,3,0,0,0
Kahlil Bell,5243,HB,4,CHI,36,29,76,2.6,0,47.8,56.0,28.8,58.2,62,2.14,18,4,3,0,2,1
Lance Dunbar,7332,HB,8,DAL,22,21,75,3.6,0,61.6,63.0,78.5,60.0,41,1.95,18,5,5,0,0,0
Keith Toston,5821,HB,1,JAX,18,17,74,4.4,0,67.7,65.5,76.7,60.0,56,3.29,14,2,2,0,0,0
Dexter McCluster,5561,WR,16,KC,177,12,70,5.8,0,62.0,59.4,46.3,69.5,16,1.33,19,4,0,1,1,0
Dion Lewis,6301,HB,7,PHI,13,13,69,5.3,1,75.2,78.0,75.5,,38,2.92,17,5,3,0,0,0
Travis Benjamin,7100,WR,14,CLV,71,6,66,11.0,0,65.8,62.0,26.5,73.9,54,9.00,35,3,0,1,0,0
Tyrod Taylor,6332,QB,7,BLT,50,8,66,5.1,1,68.2,78.9,80.7,60.0,61,4.69,28,5,4,0,0,0
Brady Quinn,3638,QB,10,KC,225,6,64,3.6,0,50.9,65.2,76.7,60.0,18,1.00,12,2,0,1,1,0
Chad Henne,4371,QB,10,JAX,165,7,64,3.4,1,53.1,28.6,62.1,60.5,25,1.32,15,5,0,4,1,0
Mario Manningham,4409,WR,12,SF,99,3,64,21.3,0,78.3,80.9,25.4,75.7,26,8.67,29,2,1,2,0,0
Jason Snelling,3860,HB,16,ATL,63,18,63,3.5,0,64.0,61.6,41.8,63.2,53,2.94,11,3,4,1,1,0
Anthony Allen,6377,HB,7,BLT,20,16,61,3.8,1,54.6,60.8,76.2,58.7,32,2.00,20,4,0,0,0,0
Phillip Tanner,6420,HB,7,DAL,25,25,61,2.4,0,58.1,57.9,78.9,,36,1.44,9,3,5,0,0,0
Darrel Young,5438,FB,16,WAS,212,14,60,4.3,0,74.2,74.4,77.0,70.9,26,1.86,16,7,1,0,1,0
Mike Thomas,5030,WR,9,DET,91,6,58,9.7,0,47.4,61.0,76.4,63.0,12,2.00,22,3,0,0,0,0
John Kuhn,2686,FB,14,GB,139,22,58,2.6,1,63.4,56.3,79.7,55.6,30,1.36,9,3,0,0,2,0
