player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Adrian Peterson,3623,HB,16,MIN,394,363,1760,4.8,10,64.0,68.6,29.0,58.3,1174,3.23,67,82,52,11,1,0
Michael Turner,1873,HB,16,ATL,414,376,1699,4.5,17,72.1,72.3,84.6,57.0,1277,3.40,70,85,50,2,0,0
DeAngelo Williams,2972,HB,16,CAR,292,273,1515,5.5,18,82.2,87.0,91.3,58.1,1066,3.90,69,66,57,0,1,1
Clinton Portis,1058,HB,16,WAS,365,342,1487,4.3,9,68.5,69.2,72.5,77.9,924,2.70,31,76,26,3,2,1
Thomas Jones,585,HB,16,NYJ,319,290,1312,4.5,13,54.2,53.1,77.7,58.8,766,2.64,59,63,18,2,1,1
Steve Slaton,4403,HB,16,HST,285,268,1282,4.8,9,70.3,67.6,66.5,59.5,829,3.09,71,60,34,3,0,0
Matt Forte,4358,HB,16,CHI,348,316,1238,3.9,8,59.9,49.3,89.7,60.3,692,2.19,50,64,22,1,0,0
Chris Johnson,4338,HB,15,TEN,272,251,1228,4.9,9,66.1,70.7,88.6,86.5,781,3.11,66,55,32,1,2,0
Ryan Grant,2609,HB,16,GB,328,312,1203,3.9,4,50.5,53.3,62.7,60.4,814,2.61,57,53,22,4,0,0
LaDainian Tomlinson,777,HB,16,SD,317,292,1110,3.8,11,50.8,55.2,90.2,53.3,704,2.41,45,52,24,1,2,0
Brandon Jacobs,2327,HB,13,NYG,225,219,1089,5.0,15,61.4,64.7,59.6,60.0,730,3.33,44,57,25,3,1,0
Steven Jackson,1745,HB,12,STR,271,253,1042,4.1,7,53.1,53.6,46.8,46.4,758,3.00,56,58,25,5,3,0
Marshawn Lynch,3628,HB,15,BUF,272,250,1036,4.1,8,69.3,76.7,75.0,59.3,749,3.00,50,53,42,3,3,1
Frank Gore,2282,HB,14,SF,270,240,1036,4.3,6,53.5,52.9,40.7,57.1,612,2.55,41,47,20,7,2,0
Derrick Ward,1949,HB,16,NYG,192,182,1025,5.6,2,75.7,74.1,71.9,58.0,667,3.66,51,53,20,2,0,0
Jamal Lewis,583,HB,16,CLV,312,279,1002,3.6,4,45.4,49.6,76.1,59.2,706,2.53,29,44,23,3,0,0
Kevin Smith,4378,HB,16,DET,247,238,976,4.1,8,63.6,65.1,77.0,57.5,680,2.86,50,50,31,3,3,1
Brian Westbrook,1094,HB,14,PHI,263,233,936,4.0,9,59.9,58.1,77.1,70.3,477,2.05,39,49,12,4,0,0
Ronnie Brown,2219,HB,16,MIA,284,214,916,4.3,10,62.0,65.4,74.4,57.1,592,2.77,62,48,30,1,1,1
Le'Ron McClain,3753,HB,16,BLT,434,232,902,3.9,10,46.5,46.0,47.8,69.3,681,2.94,82,51,32,4,3,1
Marion Barber III,2326,HB,15,DAL,262,238,885,3.7,7,52.6,53.7,31.2,55.3,569,2.39,35,57,26,7,1,0
Larry Johnson,1343,HB,12,KC,207,192,874,4.6,5,58.7,56.5,52.2,59.5,519,2.70,65,44,15,5,0,0
Jonathan Stewart,4327,HB,16,CAR,198,184,839,4.6,10,68.8,68.8,63.7,58.2,647,3.52,44,42,35,2,0,0
Justin Fargas,1410,HB,14,OAK,236,218,838,3.8,1,53.7,54.9,68.7,68.9,518,2.38,42,33,13,3,0,0
Maurice Jones-Drew,3005,HB,16,JAX,229,197,824,4.2,12,59.6,53.0,39.6,77.9,490,2.49,46,48,28,6,1,0
Willie Parker,2142,HB,11,PIT,224,210,791,3.8,5,50.6,52.9,90.8,57.8,551,2.62,34,29,18,0,0,0
Warrick Dunn,236,HB,15,TB,203,186,786,4.2,2,58.1,59.3,90.7,67.9,451,2.42,40,31,12,0,0,0
LenDale White,2990,HB,16,TEN,211,200,773,3.9,15,42.9,50.6,79.7,58.7,413,2.07,80,43,5,1,0,0
Cedric Benson,2221,HB,12,CIN,231,214,747,3.5,2,53.9,51.4,85.3,59.8,509,2.38,46,37,15,2,0,0
Sammy Morris,678,HB,13,NE,173,156,727,4.7,7,67.1,63.4,75.9,64.9,478,3.06,35,46,17,1,0,0
Julius Jones,1764,HB,15,SEA,164,158,698,4.4,2,52.3,57.5,49.4,60.6,427,2.70,33,29,23,3,0,0
Willis McGahee,1339,HB,13,BLT,207,170,671,3.9,7,45.9,48.7,50.4,71.0,464,2.73,77,34,18,5,2,0
Ricky Williams,440,HB,16,MIA,231,161,659,4.1,4,52.0,46.9,33.2,74.5,377,2.34,51,35,10,5,1,1
Pierre Thomas,4080,HB,14,NO,144,129,625,4.8,9,64.5,59.4,73.8,50.5,410,3.18,42,44,10,1,0,0
Mewelde Moore,1840,HB,16,PIT,151,140,588,4.2,5,59.1,59.7,76.0,57.6,344,2.46,32,36,15,1,0,0
Maurice Morris,1061,HB,13,SEA,143,132,574,4.3,0,59.3,60.1,73.4,59.3,416,3.15,45,27,11,1,0,0
Fred Jackson,3368,HB,16,BUF,166,130,571,4.4,3,67.2,59.5,74.8,77.5,403,3.10,32,35,22,1,0,0
Earnest Graham,1613,HB,10,TB,176,132,563,4.3,4,60.1,58.5,57.1,89.4,428,3.24,68,26,15,2,0,0
Fred Taylor,333,HB,13,JAX,151,143,556,3.9,1,61.2,65.2,75.0,60.3,443,3.10,34,24,23,1,0,0
Joseph Addai,2975,HB,12,IND,164,155,544,3.5,5,55.5,56.0,76.6,58.3,362,2.34,23,35,18,1,0,0
Dominic Rhodes,979,HB,15,IND,165,152,538,3.5,6,64.1,61.6,90.4,56.5,357,2.35,38,27,23,0,1,0
Edgerrin James,439,HB,13,ARZ,138,133,514,3.9,3,45.5,49.2,55.6,81.9,343,2.58,35,24,11,2,0,0
Kevin Faulk,470,HB,15,NE,92,83,507,6.1,3,67.4,64.0,88.5,79.2,221,2.66,41,24,7,0,0,0
Darren McFadden,4318,HB,13,OAK,136,113,499,4.4,4,54.3,46.2,46.3,61.3,232,2.05,50,24,3,3,3,0
Jerious Norwood,3024,HB,16,ATL,133,95,489,5.1,4,55.2,53.8,75.4,63.6,323,3.40,45,22,11,1,0,0
Tashard Choice,4436,HB,11,DAL,102,92,472,5.1,2,56.7,54.9,88.0,59.4,224,2.43,38,25,4,2,0,0
Ray Rice,4369,HB,13,BLT,142,107,454,4.2,0,54.0,49.4,70.7,64.1,262,2.45,60,19,13,2,2,0
Leon Washington,3062,HB,16,NYJ,89,76,448,5.9,6,61.7,63.9,67.3,70.3,243,3.20,61,14,14,2,2,0
Michael Bush,3716,HB,14,OAK,109,95,421,4.4,3,57.3,55.4,73.2,56.3,267,2.81,67,16,8,1,0,0
Deuce McAllister,793,HB,13,NO,120,107,407,3.8,5,58.9,55.8,88.7,60.9,246,2.30,19,23,3,0,0,0
Reggie Bush,2947,HB,10,NO,126,106,404,3.8,2,54.6,51.7,61.5,57.8,219,2.07,43,22,7,2,1,0
Tim Hightower,4463,HB,16,ARZ,165,143,399,2.8,10,48.9,49.3,60.4,71.9,333,2.33,30,34,11,2,0,0
