player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
LaDainian Tomlinson,777,HB,16,SD,427,346,1811,5.2,28,72.5,71.5,82.0,51.5,988,2.86,85,80,37,2,2,0
Larry Johnson,1343,HB,16,KC,444,416,1789,4.3,17,59.0,60.3,85.5,61.9,1111,2.67,47,90,61,2,2,1
Frank Gore,2282,HB,16,SF,333,312,1705,5.5,8,66.6,63.9,53.3,65.6,1126,3.61,72,69,57,5,7,1
Tiki Barber,245,HB,16,NYG,341,326,1667,5.1,5,69.6,67.1,73.0,74.1,980,3.01,55,77,52,3,1,0
Steven Jackson,1745,HB,16,STR,366,345,1528,4.4,13,66.5,64.1,75.3,56.1,815,2.36,59,73,57,3,0,0
Willie Parker,2142,HB,16,PIT,359,336,1495,4.4,13,49.1,48.2,43.1,61.0,995,2.96,76,70,44,6,2,0
Rudi Johnson,857,HB,16,CIN,383,341,1309,3.8,12,58.3,57.6,64.6,55.8,835,2.45,22,67,43,4,1,1
Chester Taylor,1182,HB,15,MIN,314,303,1218,4.0,6,58.0,55.6,50.1,64.8,801,2.64,95,53,39,5,0,0
Brian Westbrook,1094,HB,15,PHI,270,240,1217,5.1,7,68.8,65.5,75.6,55.0,573,2.39,71,60,21,2,3,0
Thomas Jones,585,HB,16,CHI,320,296,1216,4.1,6,55.4,53.7,88.1,56.4,627,2.11,30,62,25,1,3,1
Travis Henry,825,HB,14,TEN,303,270,1211,4.5,7,65.1,66.2,74.8,60.4,877,3.25,70,45,55,2,3,0
Edgerrin James,439,HB,16,ARZ,352,337,1162,3.4,6,49.6,46.8,79.4,57.9,816,2.42,18,59,31,3,0,0
Ladell Betts,1063,HB,16,WAS,266,245,1157,4.7,4,54.4,49.1,31.9,65.0,703,2.87,26,58,17,6,0,0
Fred Taylor,333,HB,15,JAX,253,231,1146,5.0,5,80.3,79.9,56.8,62.3,750,3.25,76,48,48,3,1,0
Warrick Dunn,236,HB,16,ATL,332,286,1140,4.0,4,56.5,57.7,86.8,64.6,676,2.36,90,48,31,1,1,0
Jamal Lewis,583,HB,16,BLT,341,314,1131,3.6,9,56.2,56.7,68.2,55.4,787,2.51,52,46,23,3,0,0
Julius Jones,1764,HB,16,DAL,274,267,1084,4.1,4,46.7,46.3,84.9,71.0,637,2.39,77,42,26,2,1,0
Joseph Addai,2975,HB,16,IND,243,227,1076,4.7,7,80.1,74.2,72.5,55.3,622,2.74,41,66,30,2,0,0
Deuce McAllister,793,HB,15,NO,285,244,1059,4.3,11,64.6,67.2,61.8,52.4,664,2.72,57,53,18,3,0,0
Ahman Green,374,HB,14,GB,280,266,1056,4.0,5,42.0,43.8,65.2,56.7,638,2.40,70,55,15,3,0,0
Michael Vick,773,QB,16,ATL,436,49,1046,8.6,2,65.7,83.4,50.9,60.1,290,2.38,51,55,17,9,3,1
Tatum Bell,1762,HB,13,DEN,271,232,1020,4.4,2,51.9,52.1,47.5,55.5,469,2.02,51,42,5,5,1,0
Ronnie Brown,2219,HB,13,MIA,261,241,1003,4.2,5,57.3,54.7,61.6,48.0,623,2.59,47,49,29,5,0,0
