player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Tracy White,1716,LB,4,GB,30,3,11,16,42.4,62.7,25.0,67.2,31.3,2,0,0,2,0,1,1,1,1,0,2,2,12,6.0,22,10,0,0,0,91.7,0,0
Cameron Worrell,1720,S,10,MIA,449,5,212,232,41.4,70.3,80.4,54.5,31.7,0,0,0,0,0,44,10,5,12,0,19,15,283,18.9,52,50,2,0,1,153.8,0,0
Sean Taylor,1726,S,9,WAS,597,4,207,386,84.9,79.9,81.1,90.4,82.6,1,0,1,0,0,27,6,3,5,1,20,6,128,21.3,35,39,0,5,4,14.2,2,0
DeAngelo Hall,1729,CB,16,ATL,1041,0,458,583,67.8,78.8,69.9,,66.1,0,0,0,0,0,63,9,6,13,1,100,54,655,12.1,197,44,3,5,10,63.5,5,0
Dunta Robinson,1731,CB,9,HST,501,1,216,284,77.4,70.4,64.3,60.0,76.8,0,0,0,0,0,37,2,5,15,0,41,25,326,13.0,120,64,1,2,6,73.8,1,0
Jonathan Vilma,1733,LB,7,NYJ,444,46,219,179,45.3,35.2,61.8,47.4,69.6,3,0,1,2,0,28,13,6,12,0,22,18,172,9.6,114,29,3,1,3,119.9,2,0
Tommie Harris,1735,DI,16,CHI,770,458,311,1,55.7,57.0,63.9,68.4,52.6,41,9,6,26,0,25,3,3,27,2,0,0,0,,0,,0,0,0,0.0,8,2
D.J. Williams,1738,LB,16,DEN,1022,53,493,476,73.8,81.4,91.2,56.8,62.1,8,1,1,6,0,118,22,6,76,2,45,27,249,9.2,159,22,0,1,2,65.9,1,0
Will Smith,1739,ED,16,NO,881,513,352,16,73.4,73.4,76.6,70.1,56.6,63,8,16,39,2,29,12,1,30,2,4,4,25,6.3,33,11,0,0,0,92.7,4,1
Kenechi Udeze,1741,ED,16,MIN,768,475,280,13,64.1,66.0,72.1,62.2,57.3,53,5,12,36,1,28,5,6,23,1,2,2,14,7.0,11,13,0,0,0,95.8,3,0
Vince Wilfork,1742,DI,16,NE,633,358,275,0,85.1,90.8,75.7,60.3,77.4,23,2,3,18,3,36,8,2,31,0,0,0,0,,0,,0,0,0,0.0,2,0
Jason Babin,1748,ED,2,SEA,15,14,1,0,51.6,60.0,,51.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Chris Gamble,1749,CB,15,CAR,784,1,328,455,67.8,38.8,38.6,60.0,72.3,0,0,0,0,0,45,5,8,17,1,67,45,535,11.9,178,47,3,1,4,100.0,0,0
Karlos Dansby,1754,LB,14,ARZ,837,75,297,465,79.9,72.5,73.2,93.1,72.0,19,5,1,13,2,82,16,10,46,3,61,44,377,8.6,212,24,1,3,3,72.9,5,0
Igor Olshansky,1756,DI,16,SD,634,345,289,0,67.0,63.9,56.5,57.8,67.9,26,5,6,15,2,33,12,5,29,2,0,0,0,,0,,0,1,0,0.0,0,0
Teddy Lehman,1758,LB,16,DET,188,14,79,95,48.5,39.8,43.8,47.1,62.7,1,0,0,1,0,15,2,4,7,0,7,6,61,10.2,44,16,0,0,0,103.0,0,0
Daryl Smith,1760,LB,15,JAX,890,101,326,463,68.8,63.5,81.3,54.6,73.7,8,2,2,4,1,59,9,4,31,0,52,35,271,7.7,194,34,3,0,2,99.1,0,0
Travis LaBoy,1763,ED,13,TEN,330,230,93,7,83.7,61.4,74.8,85.8,67.8,37,6,9,22,0,3,3,0,9,3,1,0,0,,0,,0,1,0,0.0,3,0
Bob Sanders,1765,S,15,IND,800,14,364,422,90.0,84.2,81.3,91.6,84.5,4,4,0,0,0,70,17,10,30,0,34,23,219,9.5,73,22,3,2,3,90.2,0,0
Tank Johnson,1768,DI,8,DAL,210,127,80,3,64.8,62.5,74.5,68.7,61.4,11,2,0,9,1,7,1,1,9,0,0,0,0,,0,,0,0,0,0.0,2,0
Dontarrious Thomas,1769,LB,6,MIN,23,0,8,15,58.1,47.2,,,67.0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,39.6,0,0
Keiwan Ratliff,1770,CB,1,CIN,12,0,0,12,69.8,62.1,76.2,,69.2,0,0,0,0,0,2,0,0,0,0,3,3,30,10.0,7,16,0,0,0,108.3,0,0
Keiwan Ratliff,1770,CB,1,IND,29,0,9,20,69.8,62.1,76.2,,69.2,0,0,0,0,0,2,0,0,0,0,3,3,30,10.0,7,16,0,0,0,108.3,0,0
Dwan Edwards,1772,DI,16,BLT,437,183,249,5,81.5,85.4,80.1,55.3,65.7,10,1,3,6,0,32,9,0,27,0,2,1,-3,-3.0,0,-3,0,1,0,16.7,0,0
Michael Boulware,1774,S,3,HST,71,2,31,38,55.5,33.0,82.4,55.9,64.5,0,0,0,0,0,3,2,0,2,0,8,6,76,12.7,21,26,1,0,3,143.8,0,0
