player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Junior Seau,10,LB,7,NE,117,21,63,33,64.4,70.3,83.2,53.2,58.2,2,0,2,0,0,9,2,1,4,0,3,1,26,26.0,23,26,0,0,0,66.0,0,0
Jeff Zgonina,55,DI,16,HST,299,145,154,0,66.6,57.9,65.4,69.4,62.9,8,2,1,5,0,20,1,2,16,0,0,0,0,,0,,0,0,0,0.0,0,0
Ty Law,124,CB,7,DEN,200,8,58,134,64.5,57.1,80.2,68.7,64.0,3,0,1,2,0,8,0,0,1,0,17,10,79,7.9,47,18,0,1,0,46.0,1,0
Ray Lewis,167,LB,16,BLT,989,109,405,475,91.1,90.9,89.9,72.2,84.1,16,3,5,8,3,97,16,8,52,2,48,36,340,9.4,209,31,2,0,3,108.0,3,0
Lawyer Milloy,171,S,15,SEA,281,13,75,193,73.0,76.2,70.3,61.0,68.2,2,0,2,0,0,22,4,3,6,0,8,5,76,15.2,14,28,1,0,2,133.3,0,0
Brian Dawkins,181,S,16,DEN,937,44,405,488,71.3,86.3,77.4,73.3,58.8,9,0,2,7,1,97,10,12,30,1,48,29,303,10.4,134,47,3,2,5,82.2,3,1
Phillip Daniels,191,ED,16,WAS,610,297,309,4,60.9,59.9,77.5,55.8,65.1,14,1,3,10,2,22,6,0,16,0,1,1,6,6.0,11,6,0,0,0,91.7,0,0
Nick Ferguson,210,S,2,HST,61,1,29,31,46.3,45.7,29.8,57.3,53.6,0,0,0,0,0,2,0,1,2,0,3,1,40,40.0,22,40,0,0,1,81.9,1,0
Larry Izzo,216,LB,5,NYJ,8,3,3,2,70.6,67.2,69.9,55.4,62.2,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Hollis Thomas,225,DI,3,CAR,406,170,236,0,57.6,58.2,77.5,52.8,60.0,0,0,0,0,0,2,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Hollis Thomas,225,DI,3,STR,49,23,26,0,57.6,58.2,77.5,52.8,60.0,0,0,0,0,0,2,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Shawn Springs,230,CB,12,NE,492,7,182,303,66.9,82.1,68.1,41.7,65.0,0,0,0,0,0,35,4,3,11,0,50,33,384,11.6,98,41,2,1,3,94.1,1,1
James Farrior,234,LB,16,PIT,1005,183,364,458,56.2,53.9,72.8,62.0,56.6,22,4,3,15,0,78,10,9,48,1,56,43,432,10.0,314,44,2,1,4,102.7,1,0
Renaldo Wynn,240,ED,2,WAS,20,11,9,0,67.3,67.2,67.4,59.8,,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Trevor Pryce,243,ED,16,BLT,543,362,174,7,64.1,55.0,68.7,74.0,47.6,30,7,3,20,0,13,8,0,16,1,1,1,7,7.0,8,7,0,0,0,95.8,3,0
Darren Sharper,258,S,14,NO,908,14,351,543,74.5,62.9,64.0,86.8,80.4,4,0,2,2,1,50,9,10,12,0,37,13,221,17.0,95,50,2,9,3,34.7,5,0
Ronde Barber,261,CB,16,TB,1044,37,498,509,61.3,64.3,51.0,68.3,61.5,7,2,2,3,0,72,1,16,34,2,80,56,615,11.0,224,32,6,0,6,117.4,6,1
Jason Taylor,264,ED,16,MIA,813,344,341,128,73.3,72.5,70.9,70.4,67.1,31,8,4,19,3,21,1,3,22,3,13,7,78,11.1,68,21,0,1,1,39.9,4,1
Bertrand Berry,267,ED,15,ARZ,483,296,117,70,54.1,43.6,75.1,59.1,64.9,24,6,0,18,0,2,2,0,8,0,2,0,0,,0,,0,0,0,39.6,2,0
Mike Vrabel,268,ED,14,KC,910,286,428,196,68.5,59.0,72.5,68.1,69.1,23,2,3,18,3,44,5,4,30,2,24,17,127,7.5,99,18,1,0,3,97.0,0,0
Al Harris,282,CB,10,GB,566,8,220,338,69.9,72.5,87.2,87.1,70.6,4,1,1,2,0,31,6,1,11,0,48,24,360,15.0,64,38,2,2,5,71.5,6,0
Grady Jackson,288,DI,15,DET,438,183,255,0,59.5,61.0,75.5,52.2,,3,0,0,3,0,18,7,1,12,0,0,0,0,,0,,0,0,0,0.0,0,0
Jason Ferguson,293,DI,9,MIA,279,130,147,2,61.8,57.8,78.0,65.8,68.1,7,0,1,6,1,18,3,0,14,0,0,0,0,,0,,0,0,0,0.0,1,1
Travis Kirschke,310,DI,12,PIT,407,239,166,2,59.4,67.1,66.3,49.8,61.0,10,1,0,9,0,20,2,1,12,0,0,0,0,,0,,0,0,0,0.0,0,0
Bryan Robinson,321,DI,16,ARZ,329,180,149,0,61.9,62.9,80.2,59.9,79.3,4,1,0,3,3,19,8,1,16,0,0,0,0,,0,,0,0,0,0.0,2,0
Pat Williams,326,DI,15,MIN,479,251,226,2,76.4,82.4,77.8,55.4,67.0,5,2,1,2,2,35,3,0,29,2,1,1,5,5.0,1,5,0,0,0,87.5,2,0
Jamal Williams,328,DI,1,SD,43,22,21,0,31.6,32.1,71.9,52.7,,0,0,0,0,0,3,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Charles Woodson,330,CB,16,GB,956,48,353,555,92.1,92.4,74.7,77.1,90.7,10,2,2,6,0,67,4,8,36,4,76,39,448,11.5,172,68,5,9,8,51.8,8,1
Greg Ellis,332,ED,14,OAK,625,332,286,7,59.4,45.9,63.6,70.2,70.4,31,7,3,21,1,20,1,1,18,2,1,1,11,11.0,8,11,0,0,0,112.5,3,0
Keith Brooking,336,LB,16,DAL,780,88,335,357,72.6,70.4,85.6,68.6,66.2,14,4,7,3,0,81,11,5,49,0,51,38,319,8.4,214,35,2,0,4,103.3,1,0
Takeo Spikes,337,LB,15,SF,588,45,307,236,83.0,70.2,91.0,66.1,85.8,7,4,1,2,0,56,7,0,32,0,23,18,121,6.7,87,43,0,0,2,88.6,1,0
Vonnie Holliday,340,DI,16,DEN,487,308,152,27,81.2,72.8,64.3,76.8,72.4,28,5,7,16,0,19,6,6,18,2,2,2,5,2.5,4,5,0,0,0,79.2,1,0
