player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Junior Seau,10,LB,11,NE,420,46,198,176,69.7,83.1,76.2,66.3,53.1,7,1,3,3,0,36,20,4,19,0,20,15,167,11.1,75,35,0,0,1,99.4,2,0
Ted Washington,13,DI,16,CLV,508,205,303,0,72.6,74.4,83.5,51.1,76.5,3,1,0,2,1,48,8,0,40,0,0,0,0,,0,,0,0,0,0.0,0,0
Keith Traylor,15,DI,14,MIA,393,169,222,2,83.2,90.1,59.1,56.7,41.7,9,3,1,5,2,29,5,2,31,1,0,0,0,,0,,0,0,0,0.0,1,0
Troy Vincent,21,S,8,BUF,11,0,5,6,64.9,67.9,68.1,59.6,61.7,2,0,0,2,0,10,7,1,2,0,2,1,8,8.0,1,8,0,0,0,60.4,0,0
Troy Vincent,21,S,8,WAS,260,9,113,138,64.9,67.9,68.1,59.6,61.7,2,0,0,2,0,10,7,1,2,0,2,1,8,8.0,1,8,0,0,0,60.4,0,0
Michael Strahan,40,ED,9,NYG,523,324,194,5,81.2,88.0,55.6,68.5,52.7,34,3,5,26,3,26,8,4,25,0,2,2,19,9.5,10,17,1,0,0,145.8,1,1
Chad Brown,41,ED,3,PIT,58,32,15,11,63.8,58.9,75.0,67.7,66.3,2,1,1,0,0,2,2,0,2,0,0,0,0,,0,,0,0,0,0.0,1,0
John Lynch,46,S,16,DEN,1028,41,437,550,73.4,83.8,76.0,56.4,66.5,7,0,2,5,0,69,15,7,22,2,28,17,210,12.4,32,33,3,0,4,119.6,0,0
Jeff Zgonina,55,DI,14,MIA,380,183,197,0,48.8,56.2,63.1,50.7,46.9,3,0,0,3,2,20,9,1,17,0,0,0,0,,0,,0,0,0,0.0,2,0
Troy Brown,56,WR,3,NE,46,3,6,37,49.2,60.0,26.4,51.1,54.9,0,0,0,0,0,1,0,1,1,0,7,4,88,22.0,56,38,0,0,0,101.8,4,1
Dan Wilkinson,69,DI,10,MIA,232,103,129,0,72.2,79.5,73.7,65.4,,10,0,0,10,2,11,4,1,10,0,0,0,0,,0,,0,0,0,0.0,4,0
Willie McGinest,71,ED,14,CLV,857,303,415,139,62.0,62.8,70.6,48.2,75.4,17,3,5,9,1,34,13,3,28,0,16,10,46,4.6,27,16,0,1,1,40.6,2,0
Bryant Young,73,DI,16,SF,883,508,372,3,69.8,74.8,41.6,57.7,57.8,38,5,10,23,0,33,8,7,32,0,0,0,0,,0,,0,0,0,0.0,1,0
Sam Adams,74,DI,16,CIN,433,211,219,3,62.3,69.0,62.5,59.5,49.6,8,2,1,5,0,11,5,1,10,0,0,0,0,,0,,0,0,0,0.0,4,0
Aaron Glenn,75,CB,16,DAL,360,1,63,296,76.2,58.1,59.7,58.5,78.2,0,0,0,0,0,21,0,3,6,0,38,23,280,12.2,72,43,2,1,5,89.8,2,1
Rodney Harrison,89,S,10,NE,488,15,188,285,68.9,63.7,65.2,79.0,67.8,5,1,1,3,0,31,14,7,10,1,27,19,188,9.9,115,56,0,1,2,74.3,2,2
Kimo von Oelhoffen,90,DI,16,NYJ,545,245,300,0,60.8,69.5,58.9,41.4,67.5,7,1,0,6,0,15,6,2,9,0,0,0,0,,0,,0,0,0,0.0,1,0
Keith Burns,94,LB,3,DEN,21,0,9,12,68.9,67.0,77.0,,63.0,0,0,0,0,0,2,0,0,1,0,2,1,2,2.0,8,2,0,0,0,56.3,0,0
Jay Bellamy,99,S,6,NO,193,3,77,113,73.3,81.4,88.1,55.1,66.0,0,0,0,0,0,13,3,0,6,0,8,4,17,4.3,5,12,0,0,1,56.3,0,0
Robert Griffith,104,S,16,ARZ,1052,3,450,599,83.0,88.1,86.3,46.7,86.9,2,0,0,2,0,65,17,6,10,3,28,10,185,18.5,18,32,1,3,3,31.7,5,1
Bobby Hamilton,105,DI,16,NYJ,294,122,170,2,53.2,56.4,64.3,45.6,69.4,1,0,0,1,1,16,11,0,11,0,0,0,0,,0,,0,0,0,0.0,0,0
Tyoka Jackson,106,DI,15,DET,299,201,82,16,47.6,45.5,59.7,59.8,53.0,13,2,1,10,0,10,0,1,9,0,2,2,11,5.5,12,10,0,0,0,89.6,1,0
Shelton Quarles,108,LB,12,TB,717,79,329,309,67.8,60.2,67.5,64.2,69.4,13,3,2,8,0,63,21,9,37,1,24,16,133,8.3,84,18,0,0,1,80.7,0,0
Kevin Carter,116,ED,16,MIA,792,451,334,7,74.5,75.3,61.1,60.6,66.4,35,6,4,25,1,35,10,3,36,0,0,0,0,,0,,0,0,0,0.0,0,0
Warren Sapp,119,DI,16,OAK,785,371,399,15,72.3,61.8,54.8,76.4,64.9,40,9,9,22,2,28,10,4,37,1,0,0,0,,0,,0,0,0,0.0,2,0
Tyrone Poole,123,CB,12,OAK,239,7,68,164,69.6,66.3,85.6,63.5,68.8,1,1,0,0,0,14,2,0,5,0,31,18,280,15.6,140,58,0,1,3,74.7,0,0
Ty Law,124,CB,16,KC,920,3,375,542,72.9,72.1,84.4,81.3,72.4,1,1,0,0,0,62,4,3,17,3,75,51,608,11.9,204,50,2,4,2,79.2,4,0
Derrick Brooks,126,LB,16,TB,1007,70,461,476,59.2,70.7,49.4,43.0,52.2,6,0,0,6,1,87,19,16,53,0,60,47,523,11.1,318,52,6,3,0,115.5,2,1
Jason Fisk,145,DI,16,STR,300,127,173,0,59.8,59.9,76.4,54.8,60.0,5,0,1,4,1,19,3,0,10,0,0,0,0,,0,,0,0,0,0.0,0,0
Don Davis,147,LB,3,NE,10,2,3,5,62.9,60.4,71.4,57.7,63.5,0,0,0,0,0,1,0,0,1,0,1,1,50,50.0,53,50,0,0,0,118.8,0,0
