player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Junior Seau,10,LB,4,NE,177,17,75,85,50.5,74.9,78.3,53.8,36.9,1,0,0,1,0,16,2,1,11,0,9,7,136,19.4,98,63,1,0,0,155.8,0,0
Jeff Zgonina,55,DI,16,HST,256,121,134,1,44.1,39.8,53.6,57.2,58.9,3,0,0,3,0,14,3,1,9,0,1,0,0,,0,,0,0,0,39.6,0,0
Willie McGinest,71,ED,14,CLV,758,199,399,160,64.5,60.3,73.1,67.5,59.8,27,1,9,17,0,44,11,4,32,0,16,14,94,6.7,68,22,0,0,1,91.1,2,1
Aaron Glenn,75,CB,4,NO,165,2,49,114,45.1,48.8,38.2,70.4,43.7,1,0,0,1,0,5,0,2,2,0,22,12,162,13.5,60,32,0,0,0,78.2,1,0
Rodney Harrison,89,S,6,NE,310,16,137,157,71.6,71.7,78.1,91.0,63.4,5,0,2,3,0,24,4,2,10,1,17,13,90,6.9,39,20,1,1,1,83.0,1,0
Kevin Carter,116,ED,16,TB,609,288,314,7,69.9,63.3,68.5,68.9,63.2,31,5,4,22,1,27,10,4,22,1,2,1,7,7.0,14,7,0,0,0,58.3,1,1
Tyrone Poole,123,CB,1,TEN,56,0,25,31,69.8,72.6,76.9,,67.6,0,0,0,0,0,2,1,0,0,0,2,2,9,4.5,2,5,0,0,0,85.4,0,0
Ty Law,124,CB,7,NYJ,396,2,149,245,64.2,75.0,84.3,69.1,60.8,0,0,0,0,0,13,2,1,1,1,26,18,243,13.5,92,44,1,0,2,111.5,3,1
Derrick Brooks,126,LB,16,TB,735,25,358,352,64.6,61.0,63.3,63.6,66.5,4,0,0,4,0,54,8,7,36,1,38,25,220,8.8,179,23,0,1,5,70.1,1,1
Walt Harris,159,CB,16,SF,989,12,406,571,71.2,63.8,77.3,72.8,70.1,4,1,1,2,0,47,3,4,15,0,80,50,628,12.6,301,62,4,3,8,87.9,4,0
Ray Lewis,167,LB,16,BLT,926,107,341,478,79.9,71.2,89.9,70.5,80.6,19,4,9,6,1,77,15,7,41,2,52,35,324,9.3,243,58,1,3,4,66.5,5,1
Lawyer Milloy,171,S,15,ATL,926,20,362,544,63.0,66.5,78.2,83.2,58.7,4,0,2,2,0,75,12,9,19,1,32,23,288,12.5,104,32,2,1,4,107.3,1,0
Brian Dawkins,181,S,16,PHI,980,56,398,526,75.8,85.4,81.2,92.1,58.7,8,3,1,4,2,65,1,6,20,6,38,24,293,12.2,97,42,2,1,4,93.4,0,0
Tedy Bruschi,187,LB,13,NE,401,28,241,132,72.9,65.6,79.1,62.0,76.6,4,0,2,2,0,39,8,3,25,0,7,5,49,9.8,25,21,0,0,1,90.8,1,0
Donnie Edwards,190,LB,7,KC,254,11,123,120,58.4,57.6,89.0,73.1,56.2,3,0,1,2,0,26,4,0,13,0,14,12,108,9.0,40,15,1,0,0,122.6,0,0
Zach Thomas,203,LB,16,DAL,632,31,348,253,79.7,68.9,69.9,72.2,78.5,6,0,3,3,0,74,12,10,31,0,24,17,99,5.8,99,16,0,0,2,78.3,0,0
La'Roi Glover,204,DI,16,STR,590,340,250,0,48.5,44.2,76.3,58.6,58.0,17,0,7,10,0,19,3,1,14,0,0,0,0,,0,,0,0,0,0.0,2,0
Orpheus Roye,206,ED,6,PIT,49,25,23,1,68.5,74.3,72.3,54.3,60.0,0,0,0,0,1,3,2,0,3,0,0,0,0,,0,,0,0,0,0.0,0,0
Nick Ferguson,210,S,12,HST,586,15,247,324,57.9,64.5,74.7,57.2,54.5,2,0,2,0,0,44,5,6,16,1,20,10,144,14.4,34,22,0,0,2,73.8,2,0
Hollis Thomas,225,DI,8,NO,178,83,95,0,39.9,38.7,26.7,57.1,60.0,1,0,0,1,2,3,0,1,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Shawn Springs,230,CB,9,WAS,434,10,146,278,76.9,61.1,76.0,56.3,78.2,1,1,0,0,0,30,3,3,10,0,42,27,258,9.6,21,24,1,1,7,79.3,0,0
James Farrior,234,LB,16,PIT,944,129,360,455,73.3,70.0,79.1,70.2,70.1,17,5,2,10,1,91,10,9,60,1,61,44,408,9.3,289,50,3,0,2,106.5,3,1
Renaldo Wynn,240,ED,16,NYG,221,126,94,1,57.3,53.8,64.2,62.2,56.3,11,2,0,9,0,14,3,1,12,0,2,2,14,7.0,9,8,0,0,0,95.8,0,0
Trevor Pryce,243,ED,16,BLT,608,422,186,0,75.6,62.1,77.2,74.5,66.7,48,5,15,28,2,14,7,1,15,0,0,0,0,,0,,0,0,0,0.0,1,0
Sam Madison,250,CB,6,NYG,45,0,15,30,80.3,79.6,76.8,,83.5,0,0,0,0,0,3,0,0,2,0,6,3,34,11.3,14,16,0,1,1,27.8,1,0
Darren Sharper,258,S,16,MIN,967,4,351,612,73.3,74.8,77.4,53.6,72.1,0,0,0,0,0,60,1,5,16,0,39,25,344,13.8,104,52,2,1,3,98.7,1,0
Ronde Barber,261,CB,16,TB,943,32,407,504,61.3,57.0,35.7,83.8,59.0,9,2,3,4,1,64,4,16,30,0,86,62,833,13.4,365,84,7,4,5,110.3,9,1
Jason Taylor,264,ED,13,WAS,559,365,190,4,50.3,31.8,78.9,63.6,66.3,27,4,1,22,7,15,2,0,12,1,3,3,16,5.3,19,9,0,0,0,88.9,1,0
Derek Smith,266,LB,5,SD,172,19,78,75,39.9,32.0,37.0,64.3,53.2,3,0,2,1,0,10,0,4,2,0,5,4,105,26.3,71,63,1,0,0,158.3,0,0
Bertrand Berry,267,ED,14,ARZ,448,266,166,16,59.6,43.8,79.5,68.8,64.1,28,4,4,20,3,12,5,0,10,2,1,1,11,11.0,9,11,0,0,0,112.5,1,0
Mike Vrabel,268,ED,16,NE,818,304,345,169,60.3,62.9,71.1,63.5,56.4,33,4,11,18,1,26,10,4,22,1,19,12,120,10.0,93,36,0,1,2,59.1,6,3
N.D. Kalu,279,ED,2,HST,27,13,13,1,28.3,28.2,68.8,64.7,57.1,2,0,1,1,0,2,0,0,1,0,1,1,11,11.0,6,11,0,0,0,112.5,0,0
Al Harris,282,CB,12,GB,726,0,301,425,73.4,61.5,61.6,,77.1,0,0,0,0,0,23,0,4,7,0,46,20,277,13.9,63,41,2,0,5,77.9,7,2
Grady Jackson,288,DI,15,ATL,395,175,220,0,72.4,73.0,76.4,59.0,,6,2,0,4,2,24,3,0,21,0,0,0,0,,0,,0,0,0,0.0,0,0
Jason Ferguson,293,DI,16,MIA,435,209,225,1,53.5,58.2,78.7,58.0,73.4,7,0,1,6,0,17,3,0,15,0,0,0,0,,0,,0,0,0,0.0,5,1
Terry Cousin,302,CB,16,CLV,301,7,84,210,46.3,59.4,40.9,58.4,44.1,1,0,0,1,0,23,1,6,6,0,40,31,327,10.5,143,35,3,1,1,115.3,0,0
Travis Kirschke,310,DI,16,PIT,462,286,173,3,54.2,60.6,68.1,49.3,61.3,13,3,5,5,0,28,4,1,22,0,0,0,0,,0,,0,0,0,0.0,0,0
Sammy Knight,311,S,6,NYG,53,4,11,38,68.5,65.6,86.7,47.9,67.0,0,0,0,0,0,7,0,0,2,0,4,4,46,11.5,11,24,0,0,0,114.6,0,0
Bryan Robinson,321,DI,16,ARZ,331,161,170,0,52.2,52.5,57.9,55.5,60.3,5,1,1,3,0,15,4,2,9,0,0,0,0,,0,,0,0,0,0.0,1,0
Pat Williams,326,DI,14,MIN,536,286,248,2,59.3,61.9,70.5,56.5,59.4,8,1,1,6,2,27,10,2,19,0,0,0,0,,0,,0,0,0,0.0,2,0
Jamal Williams,328,DI,16,SD,607,313,294,0,82.8,81.9,67.0,63.4,87.2,13,2,1,10,3,45,3,3,35,0,1,1,0,0.0,3,0,0,0,0,79.2,0,0
Charles Woodson,330,CB,16,GB,1025,10,439,576,79.0,44.6,52.5,92.6,83.4,5,3,0,2,1,47,8,10,19,1,73,34,488,14.4,254,70,2,7,7,38.3,4,1
Greg Ellis,332,ED,16,DAL,669,356,219,94,55.2,44.8,61.1,67.2,52.0,43,9,9,25,0,19,1,3,16,0,8,6,46,7.7,52,14,0,1,0,49.0,5,1
