,draft_overall,draft_round,draft_year,player,position,school,conference,team_nfl,avg_grade,avg_pass_cmp,avg_pass_att,avg_pass_cmp_pct,avg_pass_yds,avg_pass_yds_per_att,avg_adj_pass_yds_per_att,avg_pass_td,avg_pass_int,avg_pass_rating,avg_rush_att,avg_rush_yds,avg_rush_yds_per_att,avg_rush_td,avg_rec,avg_rec_yds,avg_rec_yds_per_rec,avg_rec_td,avg_scrim_att,avg_scrim_yds,avg_scrim_yds_per_att,avg_scrim_td,avg_tackles_solo,avg_tackles_assists,avg_tackles_total,avg_tackles_loss,avg_sacks,avg_def_int,avg_def_int_yds,avg_def_int_yds_per_int,avg_def_int_td,avg_pass_defended,avg_fumbles_rec,avg_fumbles_rec_yds,avg_fumbles_rec_td,avg_fumbles_forced,avg_punt_ret,avg_punt_ret_yds,avg_punt_ret_yds_per_ret,avg_punt_ret_td,avg_kick_ret,avg_kick_ret_yds,avg_kick_ret_yds_per_ret,avg_kick_ret_td,final_year_pass_cmp,final_year_pass_att,final_year_pass_cmp_pct,final_year_pass_yds,final_year_pass_yds_per_att,final_year_adj_pass_yds_per_att,final_year_pass_td,final_year_pass_int,final_year_pass_rating,final_year_rush_att,final_year_rush_yds,final_year_rush_yds_per_att,final_year_rush_td,final_year_rec,final_year_rec_yds,final_year_rec_yds_per_rec,final_year_rec_td,final_year_scrim_att,final_year_scrim_yds,final_year_scrim_yds_per_att,final_year_scrim_td,final_year_tackles_solo,final_year_tackles_assists,final_year_tackles_total,final_year_tackles_loss,final_year_sacks,final_year_def_int,final_year_def_int_yds,final_year_def_int_yds_per_int,final_year_def_int_td,final_year_pass_defended,final_year_fumbles_rec,final_year_fumbles_rec_yds,final_year_fumbles_rec_td,final_year_fumbles_forced,final_year_punt_ret,final_year_punt_ret_yds,final_year_punt_ret_yds_per_ret,final_year_punt_ret_td,final_year_kick_ret,final_year_kick_ret_yds,final_year_kick_ret_yds_per_ret,final_year_kick_ret_td
12,13,1,2018,Daron Payne,DT,Alabama,SEC,WAS,71.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.0,21.0,34.0,1.6666666666666667,1.0,0.3333333333333333,7.0,7.0,0.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,32.0,53.0,1.0,1.0,1.0,21.0,21.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,1,2018,Marcus Davenport,DE,Texas-San Antonio,CUSA,NOR,71.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,22.5,46.25,9.375,5.375,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,55.0,17.5,8.5,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,1,2018,Tremaine Edmunds,ILB,Virginia Tech,ACC,BUF,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.333333333333336,33.666666666666664,71.0,11.0,3.3333333333333335,0.3333333333333333,3.0,3.0,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,51.0,108.0,14.0,5.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,1,2018,Derwin James,S,Florida St.,ACC,LAC,88.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.666666666666664,25.333333333333332,62.0,5.0,1.8333333333333333,1.0,13.666666666666666,6.833333333333333,0.3333333333333333,5.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,35.0,84.0,5.5,1.0,2.0,41.0,20.5,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,1,2018,Jaire Alexander,CB,Louisville,ACC,GNB,72.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,6.333333333333333,25.666666666666668,0.6666666666666666,0.0,2.3333333333333335,14.0,4.133333333333334,0.0,5.0,0.3333333333333333,0.0,0.0,0.3333333333333333,14.333333333333334,141.33333333333334,8.666666666666666,0.3333333333333333,0.3333333333333333,4.666666666666667,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
18,19,1,2018,Leighton Vander Esch,OLB,Boise St.,MWC,DAL,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.3333333333333335,3.3333333333333335,0.0,42.666666666666664,20.0,62.666666666666664,4.333333333333333,1.6666666666666667,1.0,15.666666666666666,7.833333333333333,0.0,2.0,0.3333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,50.0,141.0,8.5,4.0,2.0,47.0,23.5,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,1,2018,Rashaan Evans,ILB,Alabama,SEC,TEN,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.5,37.5,5.875,3.75,0.0,0.0,0.0,0.0,1.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,39.0,74.0,13.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,1,2018,D.J. Moore,WR,Maryland,Big Ten,CAR,72.6,1.0,1.6666666666666667,50.0,12.0,6.0,6.0,0.0,0.0,100.39999999999999,5.666666666666667,41.666666666666664,8.733333333333333,0.3333333333333333,48.666666666666664,675.6666666666666,14.233333333333334,5.666666666666667,54.333333333333336,717.3333333333334,13.433333333333332,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,51.0,3.4,0.0,5.0,111.33333333333333,7.433333333333334,0.0,2.0,2.0,100.0,15.0,7.5,7.5,0.0,0.0,163.0,5.0,61.0,12.2,1.0,80.0,1033.0,12.9,8.0,85.0,1094.0,12.9,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,153.0,10.2,0.0,0.0,0.0,0.0,0.0
24,25,1,2018,Hayden Hurst,TE,South Carolina,SEC,BAL,67.0,0.6666666666666666,1.0,33.333333333333336,7.0,3.5,3.5,0.0,0.0,62.73333333333333,3.6666666666666665,13.0,2.6,0.3333333333333333,33.333333333333336,427.0,12.933333333333332,1.0,37.0,440.0,12.299999999999999,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,3.3,1.0,44.0,559.0,12.7,2.0,53.0,589.0,11.1,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,1,2018,Calvin Ridley,WR,Alabama,SEC,ATL,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,13.333333333333334,4.8999999999999995,0.3333333333333333,74.66666666666667,927.0,12.566666666666668,6.333333333333333,77.33333333333333,940.3333333333334,12.333333333333334,6.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,8.5,0.0,63.0,967.0,15.3,5.0,65.0,984.0,15.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
