,player,year,school,conference,team_year_url,class,pos,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,losses,rank,wins
25,Matt Leinart,2004,USC,Pac-10,https://www.sports-reference.com/cfb/schools/southern-california/2004.html,JR,QB,13,269,412,65.3,3322,8.1,9.0,33,6,156.5,49,-44,-0.9,3,,,,,49,-44,-0.9,3,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,13.0
26,Matt Leinart,2005,USC,Pac-10,https://www.sports-reference.com/cfb/schools/southern-california/2005.html,SR,QB,13,283,431,65.7,3815,8.9,9.3,28,8,157.7,51,36,0.7,6,1,11,11.0,0,52,47,0.9,6,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,12.0
27,Jay Cutler,2002,Vanderbilt,SEC,https://www.sports-reference.com/cfb/schools/vanderbilt/2002.html,FR,QB,11,103,212,48.6,1433,6.8,5.8,10,9,112.4,123,393,3.2,9,,,,,123,393,3.2,9,,,,,,0,0,,0,,,,,,,,,,,,,,10.0,107.0,2.0
28,Jay Cutler,2003,Vanderbilt,SEC,https://www.sports-reference.com/cfb/schools/vanderbilt/2003.html,SO,QB,12,187,327,57.2,2347,7.2,6.5,18,13,127.7,115,299,2.6,1,,,,,115,299,2.6,1,,,,,,0,0,,0,,,,,,,,,,,,,,10.0,103.0,2.0
29,Jay Cutler,2004,Vanderbilt,SEC,https://www.sports-reference.com/cfb/schools/vanderbilt/2004.html,JR,QB,11,147,241,61.0,1844,7.7,7.5,10,5,134.8,109,349,3.2,6,,,,,109,349,3.2,6,,,,,,0,0,,0,,,,,,,,,,,,,,9.0,108.0,2.0
30,Jay Cutler,2005,Vanderbilt,SEC,https://www.sports-reference.com/cfb/schools/vanderbilt/2005.html,SR,QB,11,273,462,59.1,3073,6.7,6.7,21,9,126.1,106,215,2.0,1,,,,,106,215,2.0,1,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,6.0,65.0,5.0
31,Haloti Ngata,2005,Oregon,Pac-10,https://www.sports-reference.com/cfb/schools/oregon/2005.html,JR,DL,12,,,,,,,,,,,,,,,,,,,,,,32,29,61,9.0,3.0,0,0,,0,,,,,,1,30,30.0,0,,,,,2.0,8.0,10.0
32,Kamerion Wimbley,2002,Florida State,ACC,https://www.sports-reference.com/cfb/schools/florida-state/2002.html,,DL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,,,,,,,,,,5.0,29.0,9.0
33,Brodrick Bunkley,2005,Florida State,ACC,https://www.sports-reference.com/cfb/schools/florida-state/2005.html,SR,DL,13,,,,,,,,,,,,,,,,,,,,,,39,27,66,25.0,9.0,,,,,0,0,0,0,0,,,,,,,,,5.0,34.0,8.0
34,Tye Hill,2002,Clemson,ACC,https://www.sports-reference.com/cfb/schools/clemson/2002.html,FR,RB,13,,,,,,,,,,42,225,5.4,2,3,7,2.3,0,45,232,5.2,2,,,,,,0,0,,0,,,,,,,,,,,,,,6.0,53.0,7.0
